equity_cap,top_assets,split,years,benevente_cum,benevente_cagr,cdi_cum,cdi_cagr,mvo_cum,mvo_cagr,vs_cdi,vs_mvo
0.45,3,train_2013_2019,7,1.3294497199639417,0.1284043793249421,0.896966649757005,0.09577859757955598,1.208264704379709,0.1198250070018414,0.2279866492446434,0.05487793892819237
0.45,3,holdout_2020_2025,6,1.0282080830364033,0.12508521664758177,0.7175099983464026,0.09433396575656605,1.304430680325662,0.14928377280961036,0.18090030625098952,-0.11986587387832504
0.45,3,full,13,3.724608751057753,0.12687124307674624,2.258059187487335,0.09511160761074544,4.08879293505288,0.13332634152923517,0.4501298101651259,-0.07156592705640186
0.45,4,train_2013_2019,7,1.3852284154461287,0.13222529574731445,0.896966649757005,0.09577859757955598,1.208264704379709,0.1198250070018414,0.25739080112540114,0.0801370011101672
0.45,4,holdout_2020_2025,6,0.9043227812679842,0.11332875755290805,0.7175099983464026,0.09433396575656605,1.304430680325662,0.14928377280961036,0.1087695460879079,-0.17362548696892655
0.45,4,full,13,3.5422448100618,0.12346428856839897,2.258059187487335,0.09511160761074544,4.08879293505288,0.13332634152923517,0.39415662781892213,-0.10740231170074144
0.55,3,train_2013_2019,7,1.3294497199639417,0.1284043793249421,0.896966649757005,0.09577859757955598,1.2820579627872815,0.12509585432715875,0.2279866492446434,0.02076711369713702
0.55,3,holdout_2020_2025,6,1.0282080830364033,0.12508521664758177,0.7175099983464026,0.09433396575656605,1.175440749027568,0.13830298977698163,0.18090030625098952,-0.0676794649805923
0.55,3,full,13,3.724608751057753,0.12687124307674624,2.258059187487335,0.09511160761074544,3.96448188389029,0.13117230580217565,0.4501298101651259,-0.04831785842766878
0.55,4,train_2013_2019,7,1.5438664294837112,0.14268823968138467,0.896966649757005,0.09577859757955598,1.2820579627872815,0.12509585432715875,0.3410180035635164,0.1147247225818313
0.55,4,holdout_2020_2025,6,0.9578429806159388,0.11848365798494598,0.7175099983464026,0.09433396575656605,1.175440749027568,0.13830298977698163,0.13993105280372498,-0.10002468166917278
0.55,4,full,13,3.9804910325892155,0.1314524839083655,2.258059187487335,0.09511160761074544,3.96448188389029,0.13117230580217565,0.5286680646309088,0.0032247370568265765
0.6,3,train_2013_2019,7,1.3294497199639417,0.1284043793249421,0.896966649757005,0.09577859757955598,1.3416839960467746,0.12924910597366157,0.2279866492446434,-0.0052245632218039795
0.6,3,holdout_2020_2025,6,1.0282080830364033,0.12508521664758177,0.7175099983464026,0.09433396575656605,1.1259092690818355,0.1339418594878239,0.18090030625098952,-0.04595736396954919
0.6,3,full,13,3.724608751057753,0.12687124307674624,2.258059187487335,0.09511160761074544,3.97820771245643,0.13141257411101126,0.4501298101651259,-0.05094182003778669
0.6,4,train_2013_2019,7,1.650282795901648,0.14939768151451194,0.896966649757005,0.09577859757955598,1.3416839960467746,0.12924910597366157,0.39711617821069245,0.13178498908300562
0.6,4,holdout_2020_2025,6,0.9101140312618479,0.11389233589194592,0.7175099983464026,0.09433396575656605,1.1259092690818355,0.1339418594878239,0.11214143329638948,-0.10150726607123173
0.6,4,full,13,4.062342355263619,0.1328721111846578,2.258059187487335,0.09511160761074544,3.97820771245643,0.13141257411101126,0.5537907889168137,0.01690058906073122
