cumulative_return,cagr,annual_volatility,sharpe,max_drawdown,average_turnover,sharpe_excess_cdi,strategy,horizon_years
0.7646784537629521,0.12245585880252507,0.006696499073711399,18.286546323392542,0.0,0.0,,CDI,5
0.7204105859693488,0.11667083673112555,0.10065080557577837,1.1591644488540285,-0.09544736881089466,0.2408690655281851,-0.003056535850357109,MVO clássico,5
0.698663531045776,0.11378534071016855,0.08685140879819092,1.3101150686507181,-0.11002900777086888,0.23323036457055865,-0.04895371995125711,Benevente Quant AI,5
0.3809117581401309,0.06784526003827462,0.16780898709694544,0.4043005133853708,-0.20434241865077662,0.0,-0.22078277436294558,Ibovespa,5
2.262270072538687,0.12777474243386888,0.15043555129431313,0.8493653294394766,-0.29590108726637343,0.24362610293426246,0.2857836720139948,Benevente Quant AI,10
2.205999134378344,0.12578097521505582,0.24792417942720243,0.50733645664703,-0.45678738058209256,0.0,0.25782599379873855,Ibovespa,10
2.1290082581868903,0.12300151802916126,0.1532251691421233,0.8027500828687073,-0.29561102733474065,0.25766879989077923,0.2552517240060863,MVO clássico,10
1.4166450346636155,0.09388281547465427,0.011275219784674313,8.326472471586825,0.0,0.0,,CDI,10
4.137829350290377,0.1173479912590083,0.12243368044704335,0.9584616738798728,-0.18924859382377102,0.2576824594786281,0.20297748468732546,MVO clássico,15
4.082942793786272,0.11653468376610898,0.12233800133517787,0.9525632390729323,-0.1892803396600672,0.2558739217633198,0.1972559306881097,Benevente Quant AI,15
2.9822665280444194,0.09821355951359978,0.010035732340465052,9.786385925340719,0.0,0.0,,CDI,15
1.7409616281125904,0.07075062355210338,0.2339350621616744,0.3024370207522378,-0.40772764931837013,0.0,0.011115052323827682,Ibovespa,15
