perfil,global,anos_com_sleeve,anos,cagr,cagr_pos_ir,vol,pior_ano,drawdown,sharpe_excesso,ganha_cdi,giro_medio
conservador,0.0,0,11,0.12724220860946178,0.11974605782752046,0.09139994508240049,0.009242094720130541,-0.19231597442391957,0.40812012017173566,7,0.45678583530430805
conservador,0.1,10,11,0.12941415247547194,0.12230776655896292,0.08133085336176238,0.028072879265471248,-0.17787436496746023,0.4638759169106694,8,0.42516586347528784
conservador,0.2,10,11,0.1310479325013605,0.12428821293208392,0.07202379370117927,0.04350674099838351,-0.1678994467179561,0.5119038270237637,8,0.3965758898477725
conservador,0.3,10,11,0.1320278999505824,0.1256438653173324,0.06441442261367442,0.04350674099838351,-0.1581520567154232,0.5431028139865169,8,0.366711033253574
equilibrado,0.0,0,11,0.15375229511297617,0.14156123928144848,0.15562354051028046,-0.04900067895294663,-0.2976746895847583,0.4314734406868192,7,0.6397022280805471
equilibrado,0.1,10,11,0.15739984397076312,0.14586349086323502,0.14203223041143034,-0.04900067895294663,-0.2831665003698176,0.4767893931522996,8,0.5934117011399417
equilibrado,0.2,10,11,0.15859129253492155,0.14780034987807578,0.13017383373850958,-0.04900067895294663,-0.26835181336317626,0.5070224419539142,8,0.5477135798582453
equilibrado,0.3,10,11,0.15763659474201241,0.14773510747422813,0.11873444803147129,-0.04900067895294663,-0.25337710950309056,0.5209593501842654,8,0.5005839966269648
arrojado,0.0,0,11,0.19810955170957723,0.17606378888351726,0.283626059642043,-0.21063762518932283,-0.4778334839699172,0.4613455982220594,7,0.9682134226510009
arrojado,0.1,10,11,0.20854824119753657,0.18741021694030247,0.2647850051169669,-0.21063762518932283,-0.4600456235979157,0.512587854333407,8,0.893834844361713
arrojado,0.2,10,11,0.2105331760158642,0.19107957338622117,0.2473161791691399,-0.21063762518932283,-0.4418084979757394,0.5371961161917931,8,0.8136178957738328
arrojado,0.3,10,11,0.20729685077705606,0.1897036159911818,0.2309201245131228,-0.21063762518932283,-0.43365736016222933,0.5418489344318195,8,0.7346115061905728
