name,train_signal,train_equity_cap,train_alpha_strength,train_split,train_years,train_cagr,train_cdi_cagr,train_neutral_mvo_cagr,train_excess_cdi,train_excess_mvo,train_hit_both,train_worst_year,train_max_drawdown,train_average_turnover,holdout_signal,holdout_equity_cap,holdout_alpha_strength,holdout_split,holdout_years,holdout_cagr,holdout_cdi_cagr,holdout_neutral_mvo_cagr,holdout_excess_cdi,holdout_excess_mvo,holdout_hit_both,holdout_worst_year,holdout_max_drawdown,holdout_average_turnover,train_score
momentum_12_1_eq55_tilt50,momentum_12_1,0.55,0.5,train,6,0.3436022920082398,0.0860290624962976,0.354193621750285,0.25757322951194217,-0.010591329742045241,0.5,-0.05500581704374402,0.0,0.8146886941686238,momentum_12_1,0.55,0.5,holdout,5,0.1725121901442659,0.1087137638826996,0.1648558386754071,0.06379842626156629,0.007656351468858791,0.6,0.022732115969598073,0.0,0.6158032281764088,0.2225412389448382
momentum_12_1_eq55_tilt25,momentum_12_1,0.55,0.25,train,6,0.3399189654041084,0.0860290624962976,0.354193621750285,0.25388990290781077,-0.01427465634617664,0.3333333333333333,-0.05344249676191942,0.0,0.8146017315428677,momentum_12_1,0.55,0.25,holdout,5,0.169076934707294,0.1087137638826996,0.1648558386754071,0.060363170824594414,0.004221096031886917,0.6,0.021114470365032192,0.0,0.6095007138198035,0.2151771946153481
momentum_12_1_eq75_tilt00,momentum_12_1,0.75,0.0,train,6,0.36000375000400653,0.0860290624962976,0.3924658150085074,0.2739746875077089,-0.032462065004500884,0.16666666666666666,-0.12808810761807793,0.0,0.9384351406029047,momentum_12_1,0.75,0.0,holdout,5,0.16087740229829506,0.1087137638826996,0.15361914418313716,0.05216363841559546,0.007258258115157901,0.0,-0.005283649858525419,-0.005283649858525363,0.7912167486242458,0.2133595682851209
momentum_12_1_eq55_tilt00,momentum_12_1,0.55,0.0,train,6,0.338655904828181,0.0860290624962976,0.354193621750285,0.25262684233188337,-0.015537716922104039,0.3333333333333333,-0.053148927591030126,0.0,0.8141518170290539,momentum_12_1,0.55,0.0,holdout,5,0.16563367800116957,0.1087137638826996,0.1648558386754071,0.05691991411846997,0.0007778393257624749,0.4,0.019492228809784455,0.0,0.6048835616485331,0.21266457089890772
momentum_12_1_eq75_tilt25,momentum_12_1,0.75,0.25,train,6,0.35959098312011295,0.0860290624962976,0.3924658150085074,0.27356192062381535,-0.03287483188839446,0.0,-0.12854991540485533,0.0,0.938622744306016,momentum_12_1,0.75,0.25,holdout,5,0.1639355671441609,0.1087137638826996,0.15361914418313716,0.05522180326146131,0.010316422961023752,0.0,-0.005242956932915146,-0.005242956932915099,0.7915447153453673,0.2125284064062404
momentum_12_1_eq75_tilt50,momentum_12_1,0.75,0.5,train,6,0.3593128041850284,0.0860290624962976,0.3924658150085074,0.2732837416887308,-0.03315301082347899,0.0,-0.128549919123296,0.0,0.9386354617932625,momentum_12_1,0.75,0.5,holdout,5,0.1673294635030953,0.1087137638826996,0.15361914418313716,0.0586156996203957,0.013710319319958142,0.2,-0.005202231066438662,-0.0052022310664386895,0.7919249017102388,0.21197166701145395
combined_eq75_tilt25,combined,0.75,0.25,train,6,0.35252096282508316,0.0860290624962976,0.3924658150085074,0.26649190032878556,-0.03994485218342425,0.16666666666666666,-0.12854991774781016,0.0,0.8588950840728574,combined,0.75,0.25,holdout,5,0.15446446711084483,0.1087137638826996,0.15361914418313716,0.04575070322814523,0.0008453229277076701,0.2,0.08692533061085718,0.0,0.8153044278307784,0.2007801956231756
combined_eq75_tilt50,combined,0.75,0.5,train,6,0.35224315350058855,0.0860290624962976,0.3924658150085074,0.26621409100429094,-0.040222661507918867,0.16666666666666666,-0.12854991954571798,0.0,0.8574589021735598,combined,0.75,0.5,holdout,5,0.15714677772678387,0.1087137638826996,0.15361914418313716,0.04843301384408427,0.0035276335436467132,0.2,0.08669018837278702,0.0,0.8157256563789389,0.20026766243116528
combined_eq75_tilt00,combined,0.75,0.0,train,6,0.3514799134696913,0.0860290624962976,0.3924658150085074,0.2654508509733937,-0.040985901538816094,0.16666666666666666,-0.12808810761744888,0.0,0.8674624183092119,combined,0.75,0.0,holdout,5,0.15177554492346745,0.1087137638826996,0.15361914418313716,0.043061781040767855,-0.0018435992596697037,0.2,0.08715913309343656,0.0,0.8148768351154946,0.19844107688530127
combined_eq55_tilt25,combined,0.55,0.25,train,6,0.33091534181048154,0.0860290624962976,0.354193621750285,0.24488627931418394,-0.02327827993980347,0.3333333333333333,-0.05344259814044966,0.0,0.7774989860797326,combined,0.55,0.25,holdout,5,0.14725515605268003,0.1087137638826996,0.1648558386754071,0.038541392169980426,-0.01760068262272707,0.2,0.08455168617383027,0.0,0.6344160754085324,0.1982830297919885
combined_eq55_tilt00,combined,0.55,0.0,train,6,0.3295166672178067,0.0860290624962976,0.354193621750285,0.2434876047215091,-0.024676954532478312,0.3333333333333333,-0.05314892759193629,0.0,0.7867344873937077,combined,0.55,0.0,holdout,5,0.14340994797188866,0.1087137638826996,0.1648558386754071,0.034696184089189064,-0.021445890703518433,0.2,0.08390188757123392,0.0,0.6329974287136986,0.19520861556721955
combined_eq55_tilt50,combined,0.55,0.5,train,6,0.32600643621550707,0.0860290624962976,0.354193621750285,0.23997737371920946,-0.028187185534777948,0.3333333333333333,-0.07761669418656963,0.0,0.7659631795533507,combined,0.55,0.5,holdout,5,0.15110183092987484,0.1087137638826996,0.1648558386754071,0.04238806704717524,-0.01375400774553226,0.2,0.0851989360797201,0.0,0.6358159726041548,0.188811292797831
trend_consistency_eq75_tilt00,trend_consistency,0.75,0.0,train,6,0.3210821055128701,0.0860290624962976,0.3924658150085074,0.23505304301657248,-0.07138370949563733,0.0,0.08589147772640288,0.0,0.8074511587617854,trend_consistency,0.75,0.0,holdout,5,0.10987312766193447,0.1087137638826996,0.15361914418313716,0.0011593637792348677,-0.04374601652120269,0.4,-0.023724748620819414,-0.023724748620819414,0.7767536245955756,0.1394457987580816
