decision_year,arm,eligible_assets,equity_weight,gross_return,cost_rate,net_return,cdi_net_return,holdings
2013,named,37,0.5279999993146978,0.06083587723489625,0.0004450454031609116,0.06039083183173534,0.08035941845863648,AMBV3.SA:17.6% | AMBV4.SA:17.6% | VALE3.SA:17.6%
2013,anonymised,37,0.5499999987896884,0.08456673994546371,0.0004730858147218297,0.08409365413074188,0.08035941845863648,AMBV3.SA:17.6% | AMBV4.SA:17.6% | TBLE3.SA:17.6% | VALE3.SA:2.2%
2013,monolithic,37,0.5499999999999998,0.03089543159610164,0.0004528025848837751,0.030442629011217866,0.08035941845863648,BBDC3.SA:2.4% | BBDC4.SA:2.4% | CMIG4.SA:2.4% | VALE3.SA:2.4% | ITSA4.SA:2.4% | CYRE3.SA:1.8% | EQTL3.SA:1.8% | EVEN3.SA:1.8% | EZTC3.SA:1.8% | BRAP4.SA:1.8% | CESP6.SA:1.8% | AMBV3.SA:1.8% | AMBV4.SA:1.8% | MRVE3.SA:1.8% | PSSA3.SA:1.8% | TBLE3.SA:1.8% | SBSP3.SA:1.8% | KLBN4.SA:1.8% | LIGT3.SA:1.8% | BISA3.SA:1.8% | RAPT4.SA:1.2% | ENBR3.SA:1.2% | ECOR3.SA:1.2% | CPFE3.SA:1.2% | MDIA3.SA:1.2% | TOTS3.SA:1.2% | UGPA3.SA:1.2% | RENT3.SA:1.2% | CSMG3.SA:1.2% | WEGE3.SA:1.2% | LREN3.SA:0.6% | MILS3.SA:0.6% | EMBR3.SA:0.6% | DASA3.SA:0.6% | CIEL3.SA:0.6% | ALSC3.SA:0.6% | RADL3.SA:0.6%
2013,deterministic,37,0.5499999999617275,0.08346349294046362,0.0004656427625828585,0.08299785017788076,0.08035941845863648,AMBV3.SA:17.6% | BBDC3.SA:17.6% | AMBV4.SA:17.6% | CIEL3.SA:2.2%
2014,named,41,0.17599996420991865,0.07184517079134722,0.00014632201241020364,0.07169884877893702,0.10773024419614519,BBAS3.SA:17.6%
2014,anonymised,41,0.35199997887145545,0.07605323937749131,0.00030664161526303607,0.07574659776222828,0.10773024419614519,CESP6.SA:17.6% | BBAS3.SA:17.6%
2014,monolithic,41,0.55,0.03381331321101588,0.0004519861684612454,0.03336132704255464,0.10773024419614519,WEGE3.SA:1.4% | BBAS3.SA:1.3% | BBDC4.SA:1.3% | BBDC3.SA:1.3% | ENBR3.SA:1.3% | EQTL3.SA:1.3% | CSMG3.SA:1.3% | BRFS3.SA:1.3% | CIEL3.SA:1.3% | BISA3.SA:1.3% | ALSC3.SA:1.3% | UGPA3.SA:1.3% | VALE3.SA:1.3% | TBLE3.SA:1.3% | RENT3.SA:1.3% | TOTS3.SA:1.3% | LAME4.SA:1.3% | LAME3.SA:1.3% | CESP6.SA:1.3% | ECOR3.SA:1.3% | EMBR3.SA:1.3% | CSNA3.SA:1.3% | CYRE3.SA:1.3% | CPFE3.SA:1.3% | CSAN3.SA:1.3% | CMIG4.SA:1.3% | ESTC3.SA:1.3% | HYPE3.SA:1.3% | ITSA4.SA:1.3% | ITUB4.SA:1.3% | KLBN4.SA:1.3% | LIGT3.SA:1.3% | MILS3.SA:1.3% | LREN3.SA:1.3% | SBSP3.SA:1.3% | MRVE3.SA:1.3% | OIBR4.SA:1.3% | RAPT4.SA:1.3% | PSSA3.SA:1.3% | MDIA3.SA:1.3% | EZTC3.SA:1.3%
2014,deterministic,41,0.5499999982006463,0.09115488308842545,0.00047957710994003436,0.09067530597848542,0.10773024419614519,ESTC3.SA:17.6% | CIEL3.SA:17.6% | EZTC3.SA:17.6% | BBAS3.SA:2.2%
2015,named,39,0.5499999991918629,-0.12907490157901125,0.0004572167352792292,-0.12953211831429048,0.13189971087900254,ITUB4.SA:17.6% | BBDC4.SA:17.6% | CMIG4.SA:17.6% | ITSA4.SA:2.2%
2015,anonymised,39,0.549999999285557,-0.1290749015967465,0.00045721673535507114,-0.12953211833210157,0.13189971087900254,ITUB4.SA:17.6% | BBDC4.SA:17.6% | CMIG4.SA:17.6% | ITSA4.SA:2.2%
