decision_year,predictor,predictor_value,training_median,fitted_direction,predicted_equity_year,actual_equity_year,correct,equity_sleeve_return,cdi_net_return,rule_return
2022,market_drawdown_from_peak,-0.1984614914051508,-0.009104378628321086,1,False,False,True,-0.011611151045127454,0.1229491554605446,0.1229491554605446
2023,market_drawdown_from_peak,-0.1586300238575885,-0.010571401755927745,1,False,True,False,0.2944216314487863,0.1293265758525708,0.1293265758525708
2024,market_drawdown_from_peak,-6.706708198578326e-05,-0.01604611058626937,-1,False,False,True,-0.1430372322329531,0.1077709035346763,0.1077709035346763
2025,market_drawdown_from_peak,-0.12422093429636538,-0.010571401755927745,-1,True,True,True,0.6914425570007631,0.142092534740571,0.6914425570007631
