decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,mvo_turnover,mvo_equity_gain_rate,mvo_cash_weight,equity_gain_rate,cash_weight,cdi_net_return,eligible_universe_size,priced_universe_size,benchmark_IBOVESPA,benchmark_BOVA11,realised_share_for_tax,tax_rate,net_return_after_tax,mvo_realised_share_for_tax,mvo_tax_rate,mvo_net_return_after_tax,cdi_net_return_after_tax,selected_configuration,switching_cost,gross_of_switch_return,equity_sleeve_return,equity_beat_cdi,oracle_equity_weight,oracle_return,spread_equity_minus_cdi,cdi_level_at_january,market_trailing_12m_return,market_trailing_volatility,market_drawdown_from_peak,universe_earnings_yield,earnings_yield_minus_cdi
2018,2018-01-02,2019-01-02,0.0608892963526217,6961.219872703672,0.0038780679554103,0.0570112283972113,1795022.6640707655,1897359.1111502748,0.6441976960720578,BPAC3.SA:17.60% | BRSR3.SA:17.60% | SAPR3.SA:17.60% | SEER3.SA:2.20% | TITULO_CDI:45.00%,169,momentum_12m,0.5500000000390992,-0.1117164030381194,1.5606911237333887,-0.1089918050224751,2.5363391124302152e-11,0.0322376284183364,0.4499999999609008,0.0636703731928327,34,169,0.128333183551373,0.1264980052332973,0.4619999991516577,0.0045505549935217,0.0524606734036895,0.6357481277552337,1.796668083324339e-13,-0.111716403038299,0.052528057884087,eq55_n5_momentum_12m,0.0,0.0570112283972113,0.058613869847353894,False,0.0,0.0636703731928327,-0.005056503345478802,0.0636703731928327,0.31870825206690023,0.18998926957267576,-0.007637355500714427,0.07679448571723069,0.01312411252439799
2019,2019-01-02,2020-01-02,0.4073443071630724,1281.060533782801,0.0010129354724754,0.4024601024395658,2364659.77179613,3325495.220451625,1.0237070332898963,BBDC3.SA:4.92% | BBSE3.SA:7.72% | BRSR6.SA:12.67% | CMIG3.SA:8.04% | CSNA3.SA:12.67% | EGIE3.SA:5.25% | IRBR3.SA:9.29% | ITSA4.SA:3.50% | ITUB4.SA:7.82% | MGLU3.SA:12.67% | SLCE3.SA:4.78% | TEND3.SA:5.67% | TITULO_CDI:5.00%,182,triple_factor,0.9500000000000002,0.4280623522060182,1.1241714495218722,0.4296447904167966,3.877087055231941e-12,0.4043864666599985,0.0499999999999998,0.0591568100614803,48,182,0.2741616490133169,0.265415260819831,0.5647399590915967,0.0345483013726378,0.3717830703179591,0.7947831533328171,0.0512211662011037,0.3768411860049144,0.0488043683007212,eq95_n12_triple_factor,0.0038712692510311,0.4063313716905969,0.4256699649052615,True,1.0,0.4256699649052615,0.3665131548437812,0.0591568100614803,0.19790914171221385,0.2208019833475565,-0.021520819416610992,0.10388590731021653,0.044729097248736235
2020,2020-01-02,2021-01-04,-0.0204521857268094,2263.697799322508,0.0012379210223715,-0.021690106749181,3325495.220451625,3253364.8741261386,1.1294799181831934,AZUL4.SA:12.67% | BBSE3.SA:12.67% | BPAN4.SA:7.00% | BRAP4.SA:4.53% | CMIG3.SA:10.52% | CSAN3.SA:2.96% | EQTL3.SA:10.84% | IRBR3.SA:6.95% | LIGT3.SA:7.89% | MRFG3.SA:12.67% | POSI3.SA:3.29% | TEND3.SA:3.01% | TITULO_CDI:5.00%,234,triple_factor,0.9499999999999998,-0.1734652640959724,1.5895663066656345,-0.1716151445771304,7.396192625162649e-11,-0.0218184784451691,0.0500000000000001,0.0273258543671959,67,234,0.0061818457827667,0.0035889676976212,0.4571360002119058,0.0001093017779681,-0.0217994085271491,0.9361734097784348,3.3111306172526134e-13,-0.1734652640963035,0.0225438298529366,eq95_n12_triple_factor,0.0,-0.021690106749181,-0.022966819415967475,False,0.0,0.0273258543671959,-0.05029267378316338,0.0273258543671959,0.3531862258888876,0.18116263181941836,-0.010571401755927745,0.10059809441233544,0.07327224004513955
2021,2021-01-04,2022-01-03,0.0843960633674698,1921.1993921299293,0.0009407772152129,0.0834552861522569,3253364.8741261386,3524875.3706540368,0.9142720004238116,B3SA3.SA:3.10% | BBSE3.SA:12.67% | BEEF3.SA:8.00% | BMGB4.SA:5.25% | CMIG3.SA:5.30% | CSMG3.SA:9.79% | ELET3.SA:3.32% | EQTL3.SA:12.22% | JHSF3.SA:3.65% | MRFG3.SA:12.67% | TASA4.SA:12.67% | WEGE3.SA:6.37% | TITULO_CDI:5.00%,257,triple_factor,0.95,0.0587694160466988,1.872346819556869,0.0341518363806773,0.5909730268365796,0.0822062883321554,0.05,0.0437955007062884,72,257,-0.1158589045024376,-0.1164869288519651,0.820571686673204,0.0104328746947575,0.0730224114574993,0.9222890443848132,0.0089020430458239,0.0498673730008749,0.0361312880826879,eq95_n12_triple_factor,0.0,0.0834552861522569,0.08653293508647937,True,1.0,0.08653293508647937,0.042737434380190974,0.0437955007062884,0.029716130257286588,0.44424403368433574,-0.0018573054012448464,0.08938227201084638,0.04558677130455798
2022,2022-01-03,2023-01-02,0.0489409868824248,1968.0721839969983,0.0009295146650593,0.0441402029663343,3267728.3686325224,3424616.81841702,1.0907421065914755,FHER3.SA:17.60% | GOAU4.SA:14.83% | TASA4.SA:5.08% | UNIP6.SA:11.05% | USIM5.SA:6.44% | TITULO_CDI:45.00%,265,triple_factor,0.55,-0.0315288563237171,1.844578088769626,-0.0303502104166579,3.504464650538771e-11,-0.0063861330748201,0.4499999999999999,0.1229491554605446,89,265,0.0587844729701121,0.060242135741839,0.3462602239855092,0.003352576666052,0.0446588955513134,0.9470707159071958,7.141142350875953e-13,-0.0315288563244312,0.1014330532549493,eq55_n5_triple_factor,0.0038712692510311,0.0480114722173654,-0.011611151045127454,False,0.0,0.1229491554605446,-0.13456030650567205,0.1229491554605446,-0.09906487434248978,0.20825942278120407,-0.1984614914051508,0.14874065781707557,0.025791502356530965
2023,2023-01-02,2024-01-02,0.2201288564304893,1366.422342885997,0.0008038835613934,0.2193249728690958,3424616.81841702,4175720.8092033817,0.6925204479710184,BRAP4.SA:5.75% | CURY3.SA:3.53% | KEPL3.SA:13.64% | UNIP6.SA:14.47% | VIVA3.SA:17.60% | TITULO_CDI:45.00%,297,triple_factor,0.55,0.1098120073568049,1.894141431814392,0.1117125874463276,7.675580450809544e-11,0.1619318972968325,0.4499999999999999,0.1293265758525708,89,297,0.2614217492667519,0.2704862406620203,0.3600707657648797,0.0124131704762921,0.2069118023928037,0.9999999988399032,0.0167568880992466,0.0930551192575582,0.1066944250783709,eq55_n5_triple_factor,0.0,0.2193249728690958,0.2944216314487863,True,1.0,0.2944216314487863,0.1650950555962155,0.1293265758525708,0.05690299403498322,0.21063718319796712,-0.1586300238575885,0.14483534388426367,0.015508768031692877
2024,2024-01-02,2025-01-02,-0.0301735711375199,1459.9507749741572,0.0006341835526229,-0.0308077546901429,4175720.8092033817,4047076.226858919,0.7201415315297595,BBSE3.SA:7.30% | CMIN3.SA:8.47% | CURY3.SA:17.60% | PLPL3.SA:4.03% | VIVA3.SA:17.60% | TITULO_CDI:45.00%,311,triple_factor,0.55,0.0294282076003091,1.9999999976798064,0.031265659643781,7.114299314727077e-11,-0.0786704777281242,0.4499999999999999,0.1077709035346763,89,311,-0.0935514744116294,-0.0892357747278369,0.1515739223236868,0.001286401611688,-0.032094156301831,0.9999999799615484,0.0046898488539315,0.0247383587463775,0.0889109954161079,eq55_n5_triple_factor,0.0,-0.0308077546901429,-0.1430372322329531,False,0.0,0.1077709035346763,-0.2508081357676294,0.1077709035346763,0.2340212253306111,0.17263461579911282,-6.706708198578326e-05,0.12333910015244182,0.015568196617765512
2025,2025-01-02,2025-12-31,0.4442350469836766,702.7233354537585,0.0002053231502288,0.4440297238334477,4047076.226858919,5844098.366203996,0.3031478446473737,BBSE3.SA:11.61% | CMIN3.SA:3.43% | CURY3.SA:17.32% | STBP3.SA:5.04% | VIVA3.SA:17.60% | TITULO_CDI:45.00%,303,triple_factor,0.55,0.3051268002859044,1.9999999599230969,0.3069405602571189,8.449955404619727e-11,0.3802934063504197,0.4499999999999999,0.142092534740571,96,303,0.3413111342351718,0.3492741422615624,1.0,0.0682337980633829,0.3757959257700648,1.0,0.046041084040669,0.2590857162452354,0.1172263411609711,eq55_n5_triple_factor,0.0,0.4440297238334477,0.6914425570007631,True,1.0,0.6914425570007631,0.549350022260192,0.142092534740571,-0.10360323434064911,0.12863871359377518,-0.12422093429636538,0.17087402741892643,0.02878149267835542
