method,cost_multiple,years,cagr,cdi_cagr,excess_cdi,worst_year,max_drawdown,average_turnover,average_universe
mvo_gamma_10.0,1,11,0.2847530097959734,0.0962821746340441,0.1884708351619293,-0.3087918114055662,-0.3087918114055662,1.7376146099628293,284.6363636363636
mvo_gamma_10.0,2,11,0.2819979162235313,0.0962821746340441,0.18571574158948723,-0.3116463539666443,-0.3116463539666443,1.7376146099628293,284.6363636363636
mvo_gamma_10.0,4,11,0.27648497426024154,0.0962821746340441,0.18020279962619745,-0.31735543908880043,-0.3173554390888005,1.7376146099628293,284.6363636363636
mvo_gamma_10.0,8,11,0.26544786246110585,0.0962821746340441,0.16916568782706176,-0.3287736093331128,-0.32877360933311284,1.7376146099628293,284.6363636363636
mvo_gamma_5.0,1,11,0.25959447932398305,0.0962821746340441,0.16331230468993896,-0.5619550292592005,-0.5619550292592005,1.7174387808969918,284.6363636363636
reversal_all,1,11,0.2548879931792203,0.0962821746340441,0.1586058185451762,-0.17695592560858434,-0.1769559256085843,0.9478294888627626,284.6363636363636
equal_weight,1,11,0.24295039950124453,0.0962821746340441,0.14666822486720044,-0.14355902748212102,-0.14355902748212102,0.43354942872450125,284.6363636363636
momentum_all,1,11,0.22134798654867716,0.0962821746340441,0.12506581191463306,-0.11034451913408175,-0.11034451913408172,0.5559272529569143,284.6363636363636
mvo_gamma_2.5,1,11,0.21733856280298558,0.0962821746340441,0.12105638816894149,-0.8246925339941732,-0.8246925339941732,1.6997542669623906,284.6363636363636
minimum_variance_diagonal,1,11,0.20516163438599677,0.0962821746340441,0.10887945975195268,-0.0952452138395432,-0.09524521383954321,1.2234763086011742,284.6363636363636
inverse_volatility,1,11,0.18551439160053063,0.0962821746340441,0.08923221696648653,-0.11081266720143554,-0.11081266720143557,0.8706586766755624,284.6363636363636
momentum_inverse_volatility,1,11,0.17748467788164013,0.0962821746340441,0.08120250324759604,-0.08607048894013884,-0.0860704889401388,0.8802539086807822,284.6363636363636
mvo_gamma_1.0,1,11,0.11920005698341862,0.0962821746340441,0.02291788234937453,-0.917983774858216,-0.917983774858216,1.6510562634653239,284.6363636363636
mvo_gamma_0.25,1,11,-0.09790270059621509,0.0962821746340441,-0.19418487523025918,-0.8812194882999407,-0.9497034060618575,1.7596276061008949,284.6363636363636
