method,decision_year,decision_date,eligible_assets,gross_return,turnover,cost_rate,net_return,cdi_return
mvo_gamma_2.5,2015,2015-01-02,257,1.2100076657928858,0.9999999999999999,0.0014999999999999998,1.2085076657928857,0.1318997108790032
mvo_gamma_2.5,2016,2016-01-04,258,0.6918949658213809,1.2585944525104633,0.001887891678765695,0.6900070741426152,0.13939289494698648
mvo_gamma_2.5,2017,2017-01-02,260,2.070645974226447,1.7898287530915025,0.002684743129637254,2.0679612310968096,0.09869747716374477
mvo_gamma_2.5,2018,2018-01-02,262,1.0540199705254625,0.7417081771709477,0.0011125622657564215,1.052907408259706,0.06393224883871174
mvo_gamma_2.5,2019,2019-01-02,266,0.05630710319139953,1.9999999852458314,0.002999999977868747,0.053307103213530785,0.05933780936875266
mvo_gamma_2.5,2020,2020-01-02,268,0.24475565184281622,1.999999998019398,0.002999999997029097,0.24175565184578712,0.0274025853352573
mvo_gamma_2.5,2021,2021-01-04,273,0.005734393784431635,1.9999999982110688,0.002999999997316603,0.002734393787115032,0.04415820920482849
mvo_gamma_2.5,2022,2022-01-03,297,0.007892256101110107,1.999999994727644,0.002999999992091466,0.004892256109018641,0.12294915546054375
mvo_gamma_2.5,2023,2023-01-02,332,0.25828294884641556,1.999999998750873,0.0029999999981263096,0.2552829488482892,0.1293265758525719
mvo_gamma_2.5,2024,2024-01-02,333,0.27908588193049444,1.9999999994220592,0.002999999999133089,0.27608588193136135,0.10777090353467478
mvo_gamma_2.5,2025,2025-01-02,325,-0.8218317856250185,1.9071655794365134,0.0028607483691547703,-0.8246925339941732,0.14209253474057149
