method,decision_year,decision_date,eligible_assets,gross_return,turnover,cost_rate,net_return,cdi_return
reversal_all,2015,2015-01-02,257,-0.12911721261922082,1.0,0.0015,-0.13061721261922082,0.1318997108790032
reversal_all,2016,2016-01-04,258,1.9488610976428848,0.897900395402616,0.001346850593103924,1.9475142470497808,0.13939289494698648
reversal_all,2017,2017-01-02,260,0.46093893726981894,1.035482950909337,0.0015532244263640057,0.4593857128434549,0.09869747716374477
reversal_all,2018,2018-01-02,262,0.23222582924082213,0.8827375433033104,0.0013241063149549658,0.23090172292586716,0.06393224883871174
reversal_all,2019,2019-01-02,266,0.6931372226166943,0.9366416532506284,0.0014049624798759426,0.6917322601368183,0.05933780936875266
reversal_all,2020,2020-01-02,268,0.3836839390591209,0.9557656619768126,0.0014336484929652188,0.38225029056615567,0.0274025853352573
reversal_all,2021,2021-01-04,273,0.027602125365372432,1.0416165553202426,0.001562424832980364,0.026039700532392067,0.04415820920482849
reversal_all,2022,2022-01-03,297,-0.15467385555501845,0.8893953283277992,0.001334092992491699,-0.15600794854751016,0.12294915546054375
reversal_all,2023,2023-01-02,332,0.32172803103764913,0.9392072499670336,0.0014088108749505505,0.3203192201626986,0.1293265758525719
reversal_all,2024,2024-01-02,333,-0.1755085329947752,0.964928409206092,0.001447392613809138,-0.17695592560858434,0.10777090353467478
reversal_all,2025,2025-01-02,325,0.201019926614195,0.8824486298265181,0.0013236729447397772,0.1996962536694552,0.14209253474057149
