method,decision_year,decision_date,eligible_assets,gross_return,turnover,cost_rate,net_return,cdi_return
inverse_volatility,2015,2015-01-02,257,-0.07757107568837163,1.0,0.0015,-0.07907107568837163,0.1318997108790032
inverse_volatility,2016,2016-01-04,258,0.347397281949299,0.5528715964768192,0.0008293073947152288,0.34656797455458377,0.13939289494698648
inverse_volatility,2017,2017-01-02,260,0.30538435993790314,0.4589717929801137,0.0006884576894701706,0.30469590224843296,0.09869747716374477
inverse_volatility,2018,2018-01-02,262,0.5071044610571793,0.6951913004387646,0.001042786950658147,0.5060616741065211,0.06393224883871174
inverse_volatility,2019,2019-01-02,266,0.661254931002887,0.8573923783581968,0.0012860885675372953,0.6599688424353497,0.05933780936875266
inverse_volatility,2020,2020-01-02,268,5.49067177102458e-05,1.9995378374294652,0.002999306756144198,-0.002944400038433952,0.0274025853352573
inverse_volatility,2021,2021-01-04,273,0.11725420902474193,1.9994751740519034,0.002999212761077855,0.11425499626366407,0.04415820920482849
inverse_volatility,2022,2022-01-03,297,-0.04404995535738798,0.6217593937646677,0.0009326390906470016,-0.044982594448034985,0.12294915546054375
inverse_volatility,2023,2023-01-02,332,0.3148107130835458,0.5232744390176223,0.0007849116585264335,0.31402580142501935,0.1293265758525719
inverse_volatility,2024,2024-01-02,333,-0.11013562552790734,0.4513611156854673,0.000677041673528201,-0.11081266720143554,0.10777090353467478
inverse_volatility,2025,2025-01-02,325,0.29707779551071267,0.41741041522816436,0.0006261156228422465,0.2964516798878704,0.14209253474057149
