method,decision_year,decision_date,eligible_assets,gross_return,turnover,cost_rate,net_return,cdi_return
equal_weight,2015,2015-01-02,257,-0.10723116380100484,1.0,0.0015,-0.10873116380100484,0.1318997108790032
equal_weight,2016,2016-01-04,258,1.1514101103104228,0.3723599766392803,0.0005585399649589204,1.1508515703454638,0.13939289494698648
equal_weight,2017,2017-01-02,260,0.49421747375724023,0.3424491270616942,0.0005136736905925413,0.4937038000666477,0.09869747716374477
equal_weight,2018,2018-01-02,262,0.24119435064855033,0.3374686464432376,0.0005062029696648564,0.24068814767888547,0.06393224883871174
equal_weight,2019,2019-01-02,266,0.6677567642363085,0.38566925626675824,0.0005785038844001374,0.6671782603519083,0.05933780936875266
equal_weight,2020,2020-01-02,268,0.32675055470021386,0.3588994339461824,0.0005383491509192736,0.3262122055492946,0.0274025853352573
equal_weight,2021,2021-01-04,273,0.09752437221555121,0.44487240183139876,0.0006673086027470981,0.09685706361280412,0.04415820920482849
equal_weight,2022,2022-01-03,297,-0.0958100160289912,0.4095190704176806,0.0006142786056265209,-0.09642429463461771,0.12294915546054375
equal_weight,2023,2023-01-02,332,0.3300250289689013,0.4337454658529467,0.0006506181987794201,0.32937441077012186,0.1293265758525719
equal_weight,2024,2024-01-02,333,-0.14304765243822604,0.3409166959299885,0.0005113750438949828,-0.14355902748212102,0.10777090353467478
equal_weight,2025,2025-01-02,325,0.23473053240822117,0.34314364158034727,0.0005147154623705209,0.23421581694585064,0.14209253474057149
