date,decision_year,strategy,mvo,cdi,equity_sleeve,IBOVESPA,BOVA11,strategy_daily_return,cdi_daily_return,market_drawdown,market_volatility,stress_at_close,tradable_stress,risk_state,risk_multiplier,base_equity_weight,protected_equity_weight,overlay_turnover,overlay_cost_rate,protected_return,base_rebased,protected_rebased,cdi_rebased
2015-01-05,2015,99.64697,98.822538,100.043455,98.015356,97.948961,98.011006,-0.003530297284393469,0.00043455050886920255,,,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,-0.003530297284393469,0.9964697027156065,0.9964697027156065,1.0004345505088692
2015-01-06,2015,99.551828,98.905421,100.086929,97.321077,98.946652,98.561158,-0.0009547906975997389,0.00043455116579083075,,,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,-0.0009547906975997389,0.9955182827130137,0.9955182827130137,1.0008692905090903
2015-01-07,2015,99.890419,100.528579,100.130422,98.935168,101.96034,101.883206,0.0034011530154924863,0.0004345522480762032,,,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,0.0034011530154924863,0.998904192722241,0.998904192722241,1.0013042205093114
2015-01-08,2015,100.140568,99.715933,100.173933,100.078462,102.949786,102.644943,0.0025042341648402466,0.00043454325998948384,,,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,0.0025042341648402466,1.001405682729058,1.001405682729058,1.0017393305095328
2015-01-09,2015,99.812709,98.348553,100.217464,98.145352,100.676121,100.571309,-0.0032739878208001283,0.0004345541669008579,,,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,-0.0032739878208001283,0.9981270927201231,0.9981270927201231,1.0021746405097542
2015-01-12,2015,99.342035,100.430495,100.261013,95.452057,99.233179,99.090147,-0.0047155718416579395,0.00043454502101547554,,,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,-0.0047155718416579395,0.9934203527072962,0.9934203527072962,1.0026101305099757
2015-01-13,2015,99.222517,98.98349,100.304582,94.627633,99.031168,98.688111,-0.0012030959502691285,0.0004345557529923383,,,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,-0.0012030959502691285,0.9922251727040392,0.9922251727040392,1.0030458205101973
2015-01-14,2015,99.394611,97.689551,100.348169,95.355169,98.214875,98.349558,0.0017344248584221234,0.0004345464497323981,,,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,0.0017344248584221234,0.9939461127087292,0.9939461127087292,1.003481690510419
2015-01-15,2015,99.456311,98.040755,100.391775,95.495074,98.998186,99.449855,0.0006207580006525326,0.00043454704190959426,,,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,0.0006207580006525326,0.9945631127104106,0.9945631127104106,1.0039177505106407
2015-01-16,2015,100.072598,100.035423,100.435401,98.58657,101.04098,100.719425,0.006196560015180985,0.00043455751230614403,,,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,0.006196560015180985,1.000725982727206,1.000725982727206,1.0043540105108626
2015-01-19,2015,99.41565,98.637017,100.479045,94.901462,98.445745,97.98985,-0.006564714148822204,0.00043454797377662224,,,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,-0.006564714148822204,0.9941565027093027,0.9941565027093027,1.0047904505110845
2015-01-20,2015,99.605389,98.623516,100.522708,95.722581,98.691046,98.434198,0.0019085425684990387,0.00043454831800993077,,,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,0.0019085425684990387,0.9960538927144735,0.9960538927144735,1.0052270805113066
2015-01-21,2015,99.961037,99.26261,100.56639,97.426636,101.467678,101.163781,0.0035705698614358905,0.00043454857980940176,,,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,0.0035705698614358905,0.9996103727241658,0.9996103727241658,1.0056639005115287
2015-01-22,2015,100.217221,99.247431,100.611948,98.593205,101.919113,101.819722,0.0025628385587874725,0.00045301417302545666,,,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,0.0025628385587874725,1.0021722127311472,1.0021722127311472,1.0061194805117604
2015-01-23,2015,99.937311,99.421368,100.65749,96.906599,100.542134,100.08464,-0.0027930329459046055,0.0004526500172723491,,,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,-0.0027930329459046055,0.999373112723519,0.999373112723519,1.0065749005119922
2015-01-26,2015,99.792305,99.718698,100.703052,95.937902,100.133987,99.851884,-0.001450969598331464,0.00045264391154598016,,,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,-0.001450969598331464,0.9979230527195673,0.9979230527195673,1.0070305205122239
2015-01-27,2015,99.893786,99.31683,100.748636,96.280989,100.162846,100.16928,0.0010169220963480718,0.00045265758181800564,,,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,0.0010169220963480718,0.9989378627223329,0.9989378627223329,1.0074863605124558
2015-01-28,2015,99.955983,99.645715,100.79424,96.414905,98.315881,98.03217,0.0006226313216319834,0.00045265128949245614,,,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,0.0006226313216319834,0.9995598327240279,0.9995598327240279,1.0079424005126878
2015-01-29,2015,100.396137,100.22279,100.839864,98.560329,98.453991,98.137966,0.00440347827903409,0.00045264491304264354,,,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,0.00440347827903409,1.003961372736023,1.003961372736023,1.00839864051292
2015-01-30,2015,100.084109,100.211816,100.885509,96.702335,96.693602,96.50868,-0.0031079681880588073,0.00045264836929970187,-0.060769276392667826,,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,-0.0031079681880588073,1.0008410927275195,1.0008410927275195,1.0088550905131521
2015-02-02,2015,100.510891,100.737382,100.931175,98.776413,98.225181,97.90521,0.00426423339593307,0.0004526517282079645,-0.04589232463290405,0.25668837722460697,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,0.00426423339593307,1.0051089127391504,1.0051089127391504,1.0093117505133844
2015-02-03,2015,100.717428,102.325576,100.976898,99.678032,100.931728,100.804065,0.002054871844684003,0.00045301166859501585,-0.01960235254884357,0.27250853126522795,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,0.002054871844684003,1.007174282744779,1.007174282744779,1.009768980513617
2015-02-04,2015,100.97772,100.706543,101.022641,100.865663,101.626402,101.079141,0.0025843789418451557,0.0004530046070536642,-0.012854655181119168,0.2508493304573802,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,0.0025843789418451557,1.0097772027518725,1.0097772027518725,1.0102264105138494
2015-02-05,2015,100.865172,100.638352,101.068406,100.068844,101.488292,101.311898,-0.001114582503942474,0.0004530172597645432,-0.014196182981866534,0.24820620193839987,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,-0.001114582503942474,1.0086517227488054,1.0086517227488054,1.010684060514082
2015-02-06,2015,100.722945,100.880363,101.114191,99.113976,100.577177,100.08464,-0.0014100704651552887,0.0004530100138318005,-0.02304627422926353,0.23727694434705698,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,-0.0014100704651552887,1.0072294527449293,1.0072294527449293,1.0111419105143151
2015-02-09,2015,100.812129,102.25234,101.159996,99.390655,101.795432,101.39653,0.0008854387647223572,0.0004530026848554858,-0.011212786785200324,0.2345596516931585,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,0.0008854387647223572,1.0081212927473597,1.0081212927473597,1.011599960514548
2015-02-10,2015,100.686412,102.119495,101.205823,98.523477,99.995877,99.788408,-0.0012470424069705999,0.000453015043614613,-0.028692716272377794,0.24396334675441345,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,-0.0012470424069705999,1.0068641227439337,1.0068641227439337,1.0120582305147812
2015-02-11,2015,100.48351,101.517879,101.25167,97.245412,99.439314,99.344059,-0.002015187511101413,0.0004530075309996384,-0.03409887612588147,0.24285945873876533,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,-0.002015187511101413,1.004835102738404,1.004835102738404,1.0125167005150146
2015-02-12,2015,100.967279,103.008729,101.297538,99.621912,102.104634,101.840886,0.00481441183732545,0.00045300981208495905,-0.008209361406540494,0.25897045054504936,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,0.00481441183732545,1.0096727927515878,1.0096727927515878,1.0129753805152477
2015-02-13,2015,101.234625,102.866418,101.343427,100.846458,104.378298,104.506985,0.0026478479230880314,0.0004530119971919433,0.0,0.2606163508163244,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,0.0026478479230880314,1.0123462527588736,1.0123462527588736,1.0134342705154813
2015-02-18,2015,101.622853,105.012437,101.389337,102.714283,105.705805,105.607282,0.003834932958955539,0.0004530140864487109,0.0,0.2419747962848702,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,0.003834932958955539,1.0162285327694538,1.0162285327694538,1.0138933705157147
2015-02-19,2015,101.626067,106.076719,101.435267,102.532868,105.734664,105.374526,3.1626744429136266e-05,0.00045300621701471755,0.0,0.24224657043754239,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,3.1626744429136266e-05,1.0162606727695414,1.0162606727695414,1.0143526705159482
2015-02-20,2015,101.658369,106.170608,101.481218,102.506175,105.619228,105.459166,0.0003178515213029254,0.00045300812389048595,-0.0010917517078409267,0.22449150939822962,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,0.0003178515213029254,1.0165836927704215,1.0165836927704215,1.014812180516182
2015-02-23,2015,101.839431,106.54808,101.52719,103.271129,105.707866,105.374526,0.0017810830704947378,0.00045300993529662215,-0.0002534457384760769,0.2243565115801305,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,0.0017810830704947378,1.0183943127753559,1.0183943127753559,1.015271900516416
2015-02-24,2015,101.964905,106.14341,101.573183,103.740148,106.930244,106.665259,0.0012320767974440816,0.0004530116513614679,0.0,0.2190746572461161,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,0.0012320767974440816,1.0196490527787754,1.0196490527787754,1.0157318305166498
2015-02-25,2015,102.095926,106.902343,101.619197,104.238595,106.800379,106.559463,0.0012849617228594123,0.00045301327221380916,-0.0012144833411209532,0.21805903151636938,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,0.0012849617228594123,1.020959262782346,1.020959262782346,1.0161919705168838
2015-02-26,2015,102.436689,107.491538,101.665231,105.853258,106.697312,106.453667,0.0033376748059466,0.0004530049573212569,-0.0021783547038385365,0.2183351151159912,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,0.0033376748059466,1.0243668927916325,1.0243668927916325,1.016652310517118
2015-02-27,2015,102.50632,105.966888,101.711287,106.02479,106.330392,105.818875,0.0006797466872441316,0.00045301623324878193,-0.005609750595911844,0.2046292788872027,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,0.0006797466872441316,1.0250632027935302,1.0250632027935302,1.017112870517352
2015-03-02,2015,102.151444,105.444782,101.757363,103.936882,105.171916,104.930178,-0.0034619914167244303,0.00045300773747958267,-0.016443692020379208,0.21125229549567773,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,-0.0034619914167244303,1.021514442783859,1.021514442783859,1.0175736305175864
2015-03-03,2015,102.130642,105.873467,101.80346,103.626924,105.755277,105.43801,-0.00020363882472385075,0.00045300898766420516,-0.010988163461031597,0.1957677418539505,0,0,0,1.0,0.1878892572260516,0.1878892572260516,0.0,0.0,-0.00020363882472385075,1.021306422783292,1.021306422783292,1.018034600517821
