decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,mvo_eligible_net_return,cdi_net_return
2015,2015-01-02,2016-01-04,0.05173771623969703,195.98393699781863,0.00019598393699781863,0.05154173230269921,1000000.0,1051541.7323026992,1.0,ITUB4.SA:12.00% | BBDC4.SA:12.00% | TITULO_CDI:76.00%,25,momentum_12m,0.05023771534505955,0.12954569629278212
2016,2016-01-04,2017-01-02,0.13821819059526685,1.1418944301957522e-06,1.1418944301957523e-12,0.13821819059412496,1000000.0,1138218.1905941248,1.0,TITULO_CDI:100.00%,31,momentum_12m,0.1367181903309343,0.13821818995312585
2017,2017-01-02,2018-01-02,0.17638567262016158,294.9325752629496,0.0002949325752629496,0.17609074004489864,1000000.0,1176090.7400448986,1.0,ITUB4.SA:12.00% | BBDC4.SA:12.00% | BBAS3.SA:12.00% | TITULO_CDI:64.00%,39,momentum_12m,0.17488567259565652,0.10022611215747501
2018,2018-01-02,2019-01-02,0.12077323132890716,196.57962979269914,0.00019657962979269914,0.12057665169911447,1000000.0,1120576.6516991144,1.0,ITUB4.SA:12.00% | BBDC4.SA:12.00% | TITULO_CDI:76.00%,47,momentum_12m,0.17231488598875072,0.06288552611006737
2019,2019-01-02,2020-01-02,0.09038764752618111,292.9457147234648,0.0002929457147234648,0.09009470181145765,1000000.0,1090094.7018114578,1.0,ITUB4.SA:12.00% | BBDC4.SA:12.00% | BBAS3.SA:12.00% | TITULO_CDI:64.00%,55,value_quality,0.08888764759375994,0.05825368501784567
2020,2020-01-02,2021-01-04,-0.02154859966542433,292.8299271233968,0.0002928299271233968,-0.021841429592547725,1000000.0,978158.5704074523,1.0,ITUB4.SA:12.00% | BBDC4.SA:12.00% | BBAS3.SA:12.00% | TITULO_CDI:64.00%,63,value_quality,-0.023048599819772086,0.027172409622468585
2021,2021-01-04,2022-01-03,0.04318663632626296,4.5679815062963256e-05,4.567981506296326e-11,0.04318663628058315,1000000.0,1043186.6362805831,1.0,TITULO_CDI:100.00%,71,value_quality,0.04168664939811478,0.043186650987467656
2022,2022-01-03,2023-01-02,0.12294915472303769,6.6017774563061825e-06,6.601777456306182e-12,0.12294915471643592,1000000.0,1122949.1547164358,0.9999999999999999,TITULO_CDI:100.00%,79,value_quality,0.12144915525386218,0.12294915546054574
2023,2023-01-02,2024-01-02,0.23841273093716153,194.6964254952985,0.0001946964254952985,0.23821803451166623,1000000.0,1238218.0345116663,1.0,ITUB4.SA:12.00% | BBAS3.SA:12.00% | TITULO_CDI:76.00%,87,value_quality,0.2369127271943346,0.129326575852573
2024,2024-01-02,2025-01-02,0.02745750128292701,293.0335289229679,0.00029303352892296787,0.02716446775400404,1000000.0,1027164.4677540039,1.0,ITUB4.SA:12.00% | BBDC4.SA:12.00% | BBAS3.SA:12.00% | TITULO_CDI:64.00%,95,value_quality,0.02595750618513898,0.10726695312630197
2025,2025-01-02,2026-01-02,0.1414632427546212,3.171168562157936e-05,3.171168562157936e-11,0.1414632427229095,1000000.0,1141463.2427229094,0.9999999999999999,TITULO_CDI:100.00%,102,value_quality,0.13996323481996426,0.14146323464468114
