decision_year,eq55_n5_value_quality,eq55_n5_triple_factor,eq55_n5_momentum_12m,eq55_n5_low_volatility,eq55_n8_value_quality,eq55_n8_triple_factor,eq55_n8_momentum_12m,eq55_n8_low_volatility,eq55_n12_value_quality,eq55_n12_triple_factor,eq55_n12_momentum_12m,eq55_n12_low_volatility,eq75_n5_value_quality,eq75_n5_triple_factor,eq75_n5_momentum_12m,eq75_n5_low_volatility,eq75_n8_value_quality,eq75_n8_triple_factor,eq75_n8_momentum_12m,eq75_n8_low_volatility,eq75_n12_value_quality,eq75_n12_triple_factor,eq75_n12_momentum_12m,eq75_n12_low_volatility,eq95_n5_value_quality,eq95_n5_triple_factor,eq95_n5_momentum_12m,eq95_n5_low_volatility,eq95_n8_value_quality,eq95_n8_triple_factor,eq95_n8_momentum_12m,eq95_n8_low_volatility,eq95_n12_value_quality,eq95_n12_triple_factor,eq95_n12_momentum_12m,eq95_n12_low_volatility
2013,0.07011748676968033,0.0670347854077579,0.06408085562912257,0.06408085735288141,0.06298831006988616,0.053837112401072855,0.08772723640672067,0.08772723647949499,0.06976498146484235,0.03578197449105731,0.06253394492094821,0.0697649761356033,0.06829127497383333,0.06233020167901262,0.058289421411511444,0.05828942556388378,0.05680628295766342,0.044333723853311975,0.09054081406184779,0.0905408142353711,0.06605042438667015,0.019713270797702333,0.056189364416387194,0.06605041254928591,0.056599121074087516,0.05295786928696575,0.05516860229081388,0.055168605329700304,0.05567481075527565,0.03482876536815175,0.09335031715373793,0.09335031754255074,0.06233311637102001,0.0036430678602168746,0.04984181733362941,0.062333100035999345
2014,0.10653213619399178,0.14822822731823812,0.058906980170892576,0.05890697851799248,0.09594873408543382,0.12957569909961877,0.10851484334227941,0.10851487013052398,0.08995832541058242,0.11275180154836964,0.10427928151500673,0.10426706825908681,0.10513051363443382,0.16311820768189594,0.04129336411761256,0.04129335759678649,0.0860913310744125,0.13768047518392637,0.10895210736878619,0.10894945498206933,0.08364981363503539,0.11473971016860005,0.10317893011443323,0.10316177257138254,0.08915404146743706,0.1598020490238057,0.05869292812592822,0.058692919904032366,0.07627035096917441,0.145779213959531,0.10938099859947971,0.09983626463486182,0.07859951881718216,0.11672134731180735,0.10207017282718925,0.10204811435236859
2015,-0.027794104874139844,-0.07872052187607381,0.03157232837863487,0.032503090288814644,-0.02458394313235071,-0.04896085786833651,0.0017531526119792125,0.020038509837270038,-0.028310510948415194,-0.006703503413052592,-0.013410636614164587,-0.011691002506056375,-0.06635946319546529,-0.1550876867998274,-0.003462657501503981,-0.0034587449741303356,-0.06454156670042342,-0.11451216776553856,-0.03591646663264916,-0.020279119855104374,-0.077234567791046,-0.05689134393639617,-0.06604649059613711,-0.06481270723188312,-0.10293719050802676,-0.2105919626320942,-0.052573104798786234,-0.05423068025648813,-0.10859416695734693,-0.1800628750769625,-0.0735952100853071,-0.06060447567976839,-0.13285570362060337,-0.10707992880566738,-0.1186866779548576,-0.12524480734349344
2016,0.4435513076266752,0.3514689013382775,0.4575792121772441,0.3424129835157523,0.3233541668064274,0.3781937089102078,0.3319878675953634,0.3319672276650255,0.27527426612108646,0.3736077792547096,0.29135470641072175,0.2913529203616403,0.5128961187919909,0.4287630874595947,0.5431022214526974,0.3364808009286799,0.3903615277175361,0.46520509796215553,0.40212940958227567,0.4004215065983506,0.30637710292603254,0.4589649197721983,0.3467572042144946,0.3467546821409666,0.5159099688437602,0.5083678398025477,0.5381751538720444,0.3706705310087043,0.45733615100628805,0.5521933215158901,0.4722299101058192,0.45219562519716444,0.35097719285584705,0.5443088060935105,0.39200823853126554,0.39954035733169513
2017,0.2148445906718861,0.20911572905805295,0.1931713120700614,0.1323253517043358,0.3195626674261472,0.19186453952006938,0.14325995707159983,0.22703832371293212,0.22660357507740267,0.19290234786085067,0.22911025088852321,0.23726863366256024,0.2664420543076019,0.24926025686409314,0.21108498650201934,0.14485402856114835,0.386035498914585,0.2257639020065785,0.16646084598118582,0.273751249412184,0.28550887160659427,0.22718453282816076,0.27652894838953745,0.2882287984138086,0.4009666419184978,0.2396961775523317,0.1566941158426791,0.13642961208727325,0.42738670963507897,0.25966053614835494,0.21894338320447979,0.32058713268203015,0.33655502625824896,0.2614713785505608,0.32397805520275297,0.33932028716402685
2018,0.06528133461004898,0.3879526187803202,0.05682957891933503,-0.06245866382679717,-0.01642765558698765,0.2971329077558013,-0.06349975462213463,-0.06903723341239683,-0.03460398845548588,0.2345456096010946,-0.035281287132753573,-0.06853206312383163,0.052362551722086016,0.5058480852429936,0.03919579228705757,-0.12009514745878389,-0.04762604618208544,0.3820119000082379,-0.09496986766307317,-0.13480900715561075,-0.0731970395852385,0.29667355783706917,-0.07852963089288191,-0.11700140051793138,-0.01038169883967931,0.5734516361825319,-0.046503496836368924,-0.19047004948750307,-0.07894216466081347,0.46689100648362253,-0.12038428003977468,-0.20000855495848288,-0.12208010123001511,0.35880241747236724,-0.13013967549374875,-0.16111250489098503
2019,0.15456686786788346,0.3133456354111504,0.15477238795854045,0.14711314042082957,0.11970845393563753,0.28725230256246626,0.11973612388913658,0.1334692465628866,0.11559891884775535,0.2601167224716505,0.11554608362858669,0.12267462041074462,0.18517089578207752,0.4058028548949875,0.18941180906007102,0.17938777651481058,0.14123170916013325,0.37020961777856004,0.1412580395907185,0.1615362331401801,0.14021352445254828,0.33320529810975474,0.13603350154240315,0.14564119715041254,0.19688580891852597,0.4823326099512853,0.2053440816593441,0.19797076285150494,0.16254515044216142,0.4531708527171246,0.16449132614272433,0.19046492504054918,0.16528628057577896,0.40629837778170813,0.16046390258972645,0.16862383077263793
2020,0.06583423765670209,0.02381327151482118,0.008228754881748759,0.07332467636782924,0.06569350510954085,-0.0023505609289852644,0.06578582603318522,0.08662502664707653,0.058976548315453965,-0.0010802965327956272,0.08357292424977777,0.07619915515734277,0.07911441128961036,0.022556892155922856,0.0028871136365555775,0.08972675101223085,0.07928544035078094,-0.01312538623078827,0.0794427771876541,0.10779678472866719,0.07024368042466145,-0.011393330660571912,0.10386278929488277,0.09357307323217301,0.08558774543254716,0.017800330209974596,0.04039328396004629,0.09953098126868011,0.0925343536812453,-0.023894310971146533,0.09293090949448966,0.12854340194874256,0.08145542493621706,-0.021700096689739747,0.12411675469316309,0.11540717229271256
2021,0.33565723464573427,0.1627172099653564,0.2603873452491088,0.2340665103697173,0.2226930686786831,0.12300796363272674,0.2225025376170096,0.21807798439537507,0.12157424192767513,0.06675177551144658,0.12767696689682037,0.11481605590235071,0.3890093814136714,0.20594867593212554,0.3054978783202063,0.2563399103094987,0.28748302151183075,0.15180033385203992,0.2872545991712559,0.2828082182899648,0.16056415721022432,0.0750868780749427,0.16039204202071547,0.17409856884941877,0.45702191499930794,0.21882342347448122,0.3861475049002225,0.3077078359134003,0.35225378933271595,0.1805862958450154,0.35195624432930217,0.339746463357668,0.23052436434390078,0.08341531841329687,0.19696010999671698,0.24248548201822087
2022,-0.028713664670046588,0.04800145544927899,0.048180166356488606,0.012581637114232897,0.018838005225988493,0.041073514534254583,0.015836521150474535,0.03364597854911375,0.04798257742518963,0.0445167991961103,0.051375486661834,0.061172466004697265,-0.0840385468575424,0.020736575252256036,0.009823367254149767,-0.023110927090899656,-0.012763784609308982,0.01129626871895557,-0.014679588115823643,0.002075378833987059,0.02317775296186206,0.015985616031033933,0.025172614855625837,0.05368531858052395,-0.0998144282825952,-0.01783388413737273,-0.03304045107298061,-0.06832482981962763,-0.04442598390966917,-0.01848279489578654,-0.04368701401600611,-0.029577570842993967,0.00488877231603245,-0.01255036382965576,-0.00105144250660814,0.05039236893102186
