perfil,regime,cagr,vol,drawdown,pior_ano,sharpe_excesso,ganha_cdi,anos
conservador,1 escada congelada,0.12724220860946112,0.08931012423922262,-0.19231597442392,0.009242094720129934,0.40812012017173993,7,11
conservador,2 + overlay,0.11658427131083227,0.06950085098903576,-0.0978053329385602,-0.01102484485020283,0.3276103870306776,6,11
conservador,3 + perna global,0.1310479325013607,0.07662006370809092,-0.16789944671795576,0.04350674099838292,0.5119038270237709,8,11
conservador,4 ambos · global dentro do overlay,0.12313519000812012,0.05885786667974657,-0.08478120909551345,0.013346095331229657,0.48173450033910403,7,11
conservador,5 ambos · global fora do overlay,0.1250873778032222,0.05840175108513378,-0.09157090199409423,0.03096267663745511,0.5607796437360203,8,11
equilibrado,1 escada congelada,0.15375229511297617,0.1518784979469839,-0.2976746895847584,-0.04900067895294702,0.431473440686824,7,11
equilibrado,2 + overlay,0.14378732480528855,0.12508980232970765,-0.1893859729827252,-0.019673073257080786,0.40560435091814995,7,11
equilibrado,3 + perna global,0.15859129253492177,0.13106432694035963,-0.2683518133631765,-0.04900067895294702,0.5070224419539139,8,11
equilibrado,4 ambos · global dentro do overlay,0.15131130762646783,0.10691072331727408,-0.17198700601065287,0.01064040601782179,0.5107895204017566,7,11
equilibrado,5 ambos · global fora do overlay,0.15513512134109408,0.10508380184044552,-0.1786231422696749,0.010168449170994798,0.6029963794116701,8,11
arrojado,1 escada congelada,0.19810955170957723,0.28206179563582745,-0.4778334839699173,-0.21063762518932194,0.4613455982220608,7,11
arrojado,2 + overlay,0.19260256294341804,0.24681453895915842,-0.3780955789142376,-0.15716176809721516,0.4586928253792113,7,11
arrojado,3 + perna global,0.2105331760158644,0.24620597089097263,-0.4418084959056713,-0.21063762518932194,0.5371961161917969,8,11
arrojado,4 ambos · global dentro do overlay,0.2063222409191916,0.21417927940007722,-0.356686245765931,-0.15716176809721516,0.5460900931175434,8,11
arrojado,5 ambos · global fora do overlay,0.207370557558763,0.20431501721715659,-0.3441735586052277,-0.05963125886905285,0.6165726306630048,8,11
