name,equity_cap,asset_cap,top_assets,split,years,cagr,mvo_cagr,cdi_cagr,excess_mvo_cagr,excess_cdi_cagr,annual_both_hit_rate,worst_year,relative_mvo_drawdown,relative_cdi_drawdown,average_equity_weight,average_turnover
lv_eq15_cap050_top5,0.15,0.05,5,train,6,0.09492351596893633,0.08454052151508251,0.08511971475667113,0.010382994453853822,0.009803801212265206,0.5,0.024885471165898548,-0.0005003073183976747,-0.0364632718973954,0.1416666679829953,0.35381207437587525
lv_eq15_cap050_top5,0.15,0.05,5,holdout,5,0.13110577365349263,0.13087297214911264,0.10347591307479975,0.00023280150437998692,0.027629860578692877,0.4,0.06558375512861174,-2.5045962364078633e-06,-0.015377724297739537,0.14000000210641866,0.34622028545560274
lv_eq15_cap050_top10,0.15,0.05,10,train,6,0.09492351596893633,0.08454052151508251,0.08511971475667113,0.010382994453853822,0.009803801212265206,0.5,0.024885471165898548,-0.0005003073183976747,-0.0364632718973954,0.1416666679829953,0.35381207437587525
lv_eq15_cap050_top10,0.15,0.05,10,holdout,5,0.13110577365349263,0.13087297214911264,0.10347591307479975,0.00023280150437998692,0.027629860578692877,0.4,0.06558375512861174,-2.5045962364078633e-06,-0.015377724297739537,0.14000000210641866,0.34622028545560274
lv_eq15_cap100_top5,0.15,0.1,5,train,6,0.11296521821398953,0.10997800769756028,0.08511971475667113,0.0029872105164292506,0.0278455034573184,0.5,0.054466442637545145,-0.01176194489994875,-0.008652991365793339,0.1499999999643091,0.3643641294946185
lv_eq15_cap100_top5,0.15,0.1,5,holdout,5,0.14925553602421116,0.14810441348844083,0.10347591307479975,0.0011511225357703214,0.0457796229494114,0.2,0.07300307793647484,-9.989112224173535e-05,-0.030853509734070195,0.15000000006944475,0.3695691950664071
lv_eq15_cap100_top10,0.15,0.1,10,train,6,0.11296521821398953,0.10997800769756028,0.08511971475667113,0.0029872105164292506,0.0278455034573184,0.5,0.054466442637545145,-0.01176194489994875,-0.008652991365793339,0.1499999999643091,0.3643641294946185
lv_eq15_cap100_top10,0.15,0.1,10,holdout,5,0.14925553602421116,0.14810441348844083,0.10347591307479975,0.0011511225357703214,0.0457796229494114,0.2,0.07300307793647484,-9.989112224173535e-05,-0.030853509734070195,0.15000000006944475,0.3695691950664071
lv_eq25_cap050_top5,0.25,0.05,5,train,6,0.0894231553253233,0.09484977508413239,0.08511971475667113,-0.0054266197588090925,0.004303440568652173,0.16666666666666666,-0.02013386185941927,-0.030428566833196058,-0.04619733458946995,0.22500000347828528,0.4639138879770864
lv_eq25_cap050_top5,0.25,0.05,5,holdout,5,0.12636213231990268,0.12386652653782693,0.10347591307479975,0.0024956057820757493,0.022886219245102923,0.6,0.05009905013638912,0.0,-0.029685924281681708,0.20000000151519037,0.44359116897621453
lv_eq25_cap050_top10,0.25,0.05,10,train,6,0.0894231553253233,0.09484977508413239,0.08511971475667113,-0.0054266197588090925,0.004303440568652173,0.16666666666666666,-0.02013386185941927,-0.030428566833196058,-0.04619733458946995,0.22500000347828528,0.4639138879770864
lv_eq25_cap050_top10,0.25,0.05,10,holdout,5,0.12636213231990268,0.12386652653782693,0.10347591307479975,0.0024956057820757493,0.022886219245102923,0.6,0.05009905013638912,0.0,-0.029685924281681708,0.20000000151519037,0.44359116897621453
lv_eq25_cap100_top5,0.25,0.1,5,train,6,0.10480601999934525,0.09703638070183196,0.08511971475667113,0.007769639297513287,0.019686305242674118,0.6666666666666666,-0.013254678905096334,-0.03782659738928462,-0.07232038612396652,0.24166666702702863,0.4857410314017248
lv_eq25_cap100_top5,0.25,0.1,5,holdout,5,0.157213502810305,0.15684219613442063,0.10347591307479975,0.00037130667588436417,0.05373758973550524,0.4,0.05744389082180369,-0.00030280996819664896,-0.029774115170572713,0.24000000051823145,0.4517806823845086
lv_eq25_cap100_top10,0.25,0.1,10,train,6,0.10480601999934525,0.09703638070183196,0.08511971475667113,0.007769639297513287,0.019686305242674118,0.6666666666666666,-0.013254678905096334,-0.03782659738928462,-0.07232038612396652,0.24166666702702863,0.4857410314017248
lv_eq25_cap100_top10,0.25,0.1,10,holdout,5,0.157213502810305,0.15684219613442063,0.10347591307479975,0.00037130667588436417,0.05373758973550524,0.4,0.05744389082180369,-0.00030280996819664896,-0.029774115170572713,0.24000000051823145,0.4517806823845086
lv_eq35_cap050_top5,0.35,0.05,5,train,6,0.1004386000556563,0.09874842466412259,0.08511971475667113,0.0016901753915337103,0.015318885298985174,0.16666666666666666,-0.035564863234594256,-0.010419197163851868,-0.06121788654927651,0.3000000048575859,0.5350176297916881
lv_eq35_cap050_top5,0.35,0.05,5,holdout,5,0.12716904132735118,0.1256364999663513,0.10347591307479975,0.001532541360999895,0.023693128252551432,0.4,0.0361710966492185,-0.006522839486864829,-0.042555652439988934,0.23312242194595187,0.503987881406603
lv_eq35_cap050_top10,0.35,0.05,10,train,6,0.1004386000556563,0.09874842466412259,0.08511971475667113,0.0016901753915337103,0.015318885298985174,0.16666666666666666,-0.035564863234594256,-0.010419197163851868,-0.06121788654927651,0.3000000048575859,0.5350176297916881
