year,net_return,gross_return,turnover,cdi_return,eligible_assets,baseline_mvo_return
2015,0.45698901384449747,0.4584890138444975,1.0,0.1318997108790032,257,0.2473397014913701
2016,0.743144222956306,0.7453064580366631,1.4414900535713877,0.13939289494698648,258,0.7397646564531561
2017,1.203050331284852,1.205474242003112,1.6159404788400415,0.09869747716374477,260,0.8758134462196199
2018,0.8866677208726177,0.8886103238648078,1.2950686614600553,0.06393224883871174,262,0.6530546159819116
2019,0.15969196294919366,0.16238803903461707,1.797384056948946,0.05933780936875266,266,0.2061423908230255
2020,0.3073668695690363,0.3103395552763559,1.9817904715464045,0.0274025853352573,268,0.311075188790148
2021,0.2790005132277297,0.28175848917575785,1.8386506320187768,0.04415820920482849,273,0.5278810024533993
2022,0.012609804783882681,0.015565481918106583,1.970451422815934,0.12294915546054375,297,0.010774454327504
2023,0.2643696901284192,0.26736969012793255,1.999999999675575,0.1293265758525719,332,0.2075973884334144
2024,0.0993505830066832,0.10235058300344613,1.9999999978419474,0.10777090353467478,333,0.1475271691096646
2025,-0.5512531946268354,-0.548439959345254,1.8754901877208974,0.14209253474057149,325,-0.3087918114055668
