year,net_return,gross_return,turnover,cdi_return,eligible_assets,baseline_mvo_return
2015,0.21106841430597983,0.21256841430597984,1.0,0.1318997108790032,257,0.2473397014913701
2016,0.7358741601147081,0.7383736807994485,1.6663471231603344,0.13939289494698648,258,0.7397646564531561
2017,0.8888713286167542,0.8912118560836324,1.5603516445854195,0.09869747716374477,260,0.8758134462196199
2018,0.6863617762469577,0.6886218121422514,1.5066905968624744,0.06393224883871174,262,0.6530546159819116
2019,0.2279848176229014,0.2305401004076637,1.7035218565082109,0.05933780936875266,266,0.2061423908230255
2020,0.31305602440263663,0.3160352346552924,1.9861401684371578,0.0274025853352573,268,0.311075188790148
2021,0.5280789777152909,0.5307281644876753,1.7661245149229552,0.04415820920482849,273,0.5278810024533993
2022,0.014230996158746524,0.017098856598634526,1.9119069599253347,0.12294915546054375,297,0.010774454327504
2023,0.2214575194235497,0.2244575194212015,1.9999999984345451,0.1293265758525719,332,0.2075973884334144
2024,0.11897226869310282,0.12197226868894351,1.9999999972271294,0.10777090353467478,333,0.1475271691096646
2025,-0.29620045331384254,-0.29334564326863155,1.9032066968073205,0.14209253474057149,325,-0.3087918114055668
