year,net_return,gross_return,turnover,cdi_return,eligible_assets,baseline_mvo_return
2015,0.17118098768579243,0.17268098768579243,1.0,0.1318997108790032,257,0.2473397014913701
2016,0.7261299390868556,0.7287320987959047,1.7347731393660457,0.13939289494698648,258,0.7397646564531561
2017,0.8873191060587481,0.8896314794547449,1.5415822639978305,0.09869747716374477,260,0.8758134462196199
2018,0.6607879674929448,0.6630829048175291,1.5299582163895535,0.06393224883871174,262,0.6530546159819116
2019,0.20316247749374777,0.2059295835697108,1.844737383975358,0.05933780936875266,266,0.2061423908230255
2020,0.3103875087624681,0.3133875087527447,1.9999999935177029,0.0274025853352573,268,0.311075188790148
2021,0.5235374196849919,0.5261198393660405,1.7216131206990082,0.04415820920482849,273,0.5278810024533993
2022,0.011609540967180223,0.014487819729546159,1.9188525082439574,0.12294915546054375,297,0.010774454327504
2023,0.2124964245962104,0.21549642459095764,1.999999996498151,0.1293265758525719,332,0.2075973884334144
2024,0.1520753938074888,0.15507539379565194,1.999999992108759,0.10777090353467478,333,0.1475271691096646
2025,-0.30947055012924163,-0.30661241985807697,1.9054201807764306,0.14209253474057149,325,-0.3087918114055668
