year,net_return,gross_return,turnover,cdi_return,eligible_assets,baseline_mvo_return
2015,0.4432427950189644,0.4447427950189644,0.9999999999999999,0.1318997108790032,257,0.2473397014913701
2016,0.7513487304069641,0.7536012929758988,1.5017083792898247,0.13939289494698648,258,0.7397646564531561
2017,1.2051683749748474,1.2075114143832857,1.5620262722921376,0.09869747716374477,260,0.8758134462196199
2018,0.8576959132075024,0.8596341281839803,1.2921433176519739,0.06393224883871174,262,0.6530546159819116
2019,0.14738388549078296,0.15017780570901507,1.8626134788214068,0.05933780936875266,266,0.2061423908230255
2020,0.27616305382741924,0.2791350761162805,1.9813481925741872,0.0274025853352573,268,0.311075188790148
2021,0.2841393816953706,0.286907132286077,1.8451670604709136,0.04415820920482849,273,0.5278810024533993
2022,0.011702091253026289,0.014702091222820846,1.9999999798630377,0.12294915546054375,297,0.010774454327504
2023,0.2602682935641134,0.26326829355856596,1.9999999963016966,0.1293265758525719,332,0.2075973884334144
2024,0.11480325396816801,0.11780325396467739,1.999999997672918,0.10777090353467478,333,0.1475271691096646
2025,-0.5586289883594416,-0.5558047380534357,1.8828335373372955,0.14209253474057149,325,-0.3087918114055668
