year,net_return,gross_return,turnover,cdi_return,eligible_assets,baseline_mvo_return
2015,0.035351961857536474,0.036851961857536475,1.0,0.1318997108790032,257,0.2473397014913701
2016,0.5790527592842041,0.5816427011391172,1.7266279032753795,0.13939289494698648,258,0.7397646564531561
2017,0.6454790847362408,0.6478147284783378,1.5570958280646112,0.09869747716374477,260,0.8758134462196199
2018,0.4884394412968798,0.49088265762687877,1.628810886666003,0.06393224883871174,262,0.6530546159819116
2019,0.27788152924073484,0.28047100645894374,1.7263181454725949,0.05933780936875266,266,0.2061423908230255
2020,0.24927026137313024,0.2522637811932804,1.9956798801001125,0.0274025853352573,268,0.311075188790148
2021,0.6111547294608121,0.613711132952556,1.7042689944959588,0.04415820920482849,273,0.5278810024533993
2022,-0.009125514367143251,-0.006582259114868982,1.6955035015161792,0.12294915546054375,297,0.010774454327504
2023,0.11982880671297177,0.12278883751072756,1.973353865170523,0.1293265758525719,332,0.2075973884334144
2024,0.1482244783796478,0.1512244783743959,1.999999996498731,0.10777090353467478,333,0.1475271691096646
2025,-0.05181431581266153,-0.04895063572886471,1.9091200558645438,0.14209253474057149,325,-0.3087918114055668
