year,net_return,gross_return,turnover,cdi_return,eligible_assets,baseline_mvo_return
2015,0.27350284490127247,0.27500284490127247,1.0,0.1318997108790032,257,0.2473397014913701
2016,0.6928994369302396,0.6954043702860409,1.669955570534152,0.13939289494698648,258,0.7397646564531561
2017,1.2203294325795768,1.2229406854905371,1.7408352739735016,0.09869747716374477,260,0.8758134462196199
2018,0.9325994438545174,0.9345330882267435,1.289096248150733,0.06393224883871174,262,0.6530546159819116
2019,0.14341618803131503,0.14601672907094265,1.7336940264184182,0.05933780936875266,266,0.2061423908230255
2020,0.3310324597605385,0.33401753005671564,1.9900468641180902,0.0274025853352573,268,0.311075188790148
2021,0.23731525083629543,0.2401067803525052,1.8610196774731804,0.04415820920482849,273,0.5278810024533993
2022,0.018560997971438918,0.021505591522140932,1.963062367134675,0.12294915546054375,297,0.010774454327504
2023,0.2656045951051558,0.2686045951036924,1.999999999024363,0.1293265758525719,332,0.2075973884334144
2024,0.09041215428273043,0.09341215428034122,1.9999999984071921,0.10777090353467478,333,0.1475271691096646
2025,-0.5448227524436524,-0.5420036000794928,1.879434909439737,0.14209253474057149,325,-0.3087918114055668
