name,train_gamma,train_shrinkage,train_momentum_prior,train_split,train_years,train_cagr,train_cdi_cagr,train_excess_cdi,train_baseline_mvo_cagr,train_excess_baseline_mvo,train_cdi_hit_rate,train_baseline_mvo_hit_rate,train_worst_year,train_drawdown,train_turnover,holdout_gamma,holdout_shrinkage,holdout_momentum_prior,holdout_split,holdout_years,holdout_cagr,holdout_cdi_cagr,holdout_excess_cdi,holdout_baseline_mvo_cagr,holdout_excess_baseline_mvo,holdout_cdi_hit_rate,holdout_baseline_mvo_hit_rate,holdout_worst_year,holdout_drawdown,holdout_turnover,train_score
mvo_g2.5_s0.0_p0.0,2.5,0.0,0.0,train,6,0.7699716226161992,0.08602906249629738,0.6839425601199018,0.48307476791098125,0.286896854705218,0.8333333333333334,0.5,0.05330710321353012,0.0,1.4650218943396904,2.5,0.0,0.0,holdout,5,-0.22313515085947377,0.10871376388269938,-0.33184891474217315,0.08145277889612257,-0.30458792975559634,0.4,0.4,-0.8246925339941729,-0.8246925339941729,1.9814331141096317,0.8975883201081353
mvo_g2.5_s0.25_p0.0,2.5,0.25,0.0,train,6,0.7694910105232888,0.08602906249629738,0.6834619480269915,0.48307476791098125,0.2864162426123076,1.0,0.5,0.0625185090680588,0.0,1.4795355329159718,2.5,0.25,0.0,holdout,5,-0.23210532607812528,0.10871376388269938,-0.34081908996082466,0.08145277889612257,-0.31355810497424785,0.4,0.4,-0.8226542473042978,-0.8226542473042978,1.980470721150287,0.8959014139935004
mvo_g2.5_s0.5_p0.0,2.5,0.5,0.0,train,6,0.7613729147548658,0.08602906249629738,0.6753438522585684,0.48307476791098125,0.27829814684388454,1.0,0.5,0.06536511243092288,0.0,1.4977029538425606,2.5,0.5,0.0,holdout,5,-0.23775793515259613,0.10871376388269938,-0.3464716990352955,0.08145277889612257,-0.3192107140487187,0.4,0.6,-0.8206643062180927,-0.8206643062180927,1.9764928869605967,0.8787568514103249
mvo_g2.5_s0.75_p0.0,2.5,0.75,0.0,train,6,0.7588544484681632,0.08602906249629738,0.6728253859718658,0.48307476791098125,0.27577968055718194,1.0,0.5,0.07437142381571155,0.0,1.5143876901076634,2.5,0.75,0.0,holdout,5,-0.24543692951449758,0.10871376388269938,-0.35415069339719696,0.08145277889612257,-0.32688970841062015,0.4,0.6,-0.8187284661057436,-0.8187284661057436,1.9702378600645318,0.8728856820236646
mvo_g2.5_s0.25_p0.1,2.5,0.25,0.1,train,6,0.7473241573070193,0.08602906249629738,0.6612950948107219,0.48307476791098125,0.26424938939603804,0.8333333333333334,0.5,0.05656120442337201,0.0,1.5076372550971533,2.5,0.25,0.1,holdout,5,-0.23219905358427828,0.10871376388269938,-0.34091281746697766,0.08145277889612257,-0.31365183248040085,0.4,0.4,-0.8227514162033975,-0.8227514162033975,1.9807645412280455,0.8501626214519022
mvo_g2.5_s0.0_p0.1,2.5,0.0,0.1,train,6,0.744225241157048,0.08602906249629738,0.6581961786607506,0.48307476791098125,0.26115047324606677,0.8333333333333334,0.5,0.04808886452359072,0.0,1.4936135725553645,2.5,0.0,0.1,holdout,5,-0.2232740291517855,0.10871376388269938,-0.3319877930344849,0.08145277889612257,-0.3047268080479081,0.4,0.4,-0.8247862204866898,-0.8247862204866898,1.9817257153803367,0.8446659732790491
mvo_g2.5_s0.5_p0.1,2.5,0.5,0.1,train,6,0.7379491889226204,0.08602906249629738,0.651920126426323,0.48307476791098125,0.25487442101163915,0.8333333333333334,0.5,0.05633832382695346,0.0,1.5240944019271045,2.5,0.5,0.1,holdout,5,-0.23784676508717872,0.10871376388269938,-0.3465605289698781,0.08145277889612257,-0.3192995439833013,0.4,0.6,-0.8207648763758912,-0.8207648763758912,1.977092223624799,0.8305898273416069
mvo_g2.5_s0.75_p0.1,2.5,0.75,0.1,train,6,0.735871266575949,0.08602906249629738,0.6498422040796517,0.48307476791098125,0.2527964986649678,1.0,0.5,0.0651733521126759,0.0,1.5403120903585237,2.5,0.75,0.1,holdout,5,-0.24545737806231294,0.10871376388269938,-0.3541711419450123,0.08145277889612257,-0.3269101569584355,0.4,0.6,-0.8188325975490683,-0.8188325975490683,1.9707570489709518,0.8256230982266932
mvo_g2.5_s0.25_p0.25,2.5,0.25,0.25,train,6,0.7058979752413104,0.08602906249629738,0.619868912745013,0.48307476791098125,0.22282320733032912,0.8333333333333334,0.5,0.047720131114698555,0.0,1.5518402515418586,2.5,0.25,0.25,holdout,5,-0.2323457920305616,0.10871376388269938,-0.341059555913261,0.08145277889612257,-0.3137985709266842,0.4,0.4,-0.8228972538376124,-0.8228972538376124,1.9812052714733697,0.7651001074982492
mvo_g2.5_s0.0_p0.25,2.5,0.0,0.25,train,6,0.7044682769882753,0.08602906249629738,0.6184392144919779,0.48307476791098125,0.22139350907729405,0.8333333333333334,0.5,0.04025328508780054,0.0,1.540411204546903,2.5,0.0,0.25,holdout,5,-0.2233899005723069,0.10871376388269938,-0.3321036644550063,0.08145277889612257,-0.30484267946842947,0.4,0.4,-0.8249268319254338,-0.8249268319254338,1.9821646159211774,0.7628121633419268
mvo_g2.5_s0.5_p0.25,2.5,0.5,0.25,train,6,0.7003784765604768,0.08602906249629738,0.6143494140641794,0.48307476791098125,0.21730370864949555,0.8333333333333334,0.5,0.04812707089960041,0.0,1.5675864021554375,2.5,0.5,0.25,holdout,5,-0.23794356093942237,0.10871376388269938,-0.34665732482212175,0.08145277889612257,-0.31939633983554494,0.4,0.6,-0.820915819068703,-0.820915819068703,1.9779912279675458,0.7532738026059032
mvo_g2.5_s0.75_p0.25,2.5,0.75,0.25,train,6,0.6976214014454285,0.08602906249629738,0.6115923389491311,0.48307476791098125,0.21454663353444725,0.8333333333333334,0.5,0.055845033647515446,0.0,1.5795672647417238,2.5,0.75,0.25,holdout,5,-0.24549093313577353,0.10871376388269938,-0.3542046970184729,0.08145277889612257,-0.3269437120318961,0.4,0.6,-0.818988510222913,-0.818988510222913,1.9714861258277305,0.7471606092464922
mvo_g5.0_s0.5_p0.0,5.0,0.5,0.0,train,6,0.5874799901780909,0.08602906249629738,0.5014509276817936,0.48307476791098125,0.10440522226710969,1.0,0.6666666666666666,0.15969196294919366,0.0,1.5219456203944723,5.0,0.5,0.0,holdout,5,-0.041780728990245986,0.10871376388269938,-0.15049449287294536,0.08145277889612257,-0.12323350788636855,0.4,0.4,-0.5512531946268354,-0.5512531946268354,1.936918448014626,0.5297588689291797
mvo_g5.0_s0.25_p0.0,5.0,0.25,0.0,train,6,0.5860155864078382,0.08602906249629738,0.49998652391154086,0.48307476791098125,0.10294081849685699,1.0,0.6666666666666666,0.15092906952635748,0.0,1.5225549613142981,5.0,0.25,0.0,holdout,5,-0.04156182573909728,0.10871376388269938,-0.15027558962179666,0.08145277889612257,-0.12301460463521985,0.6,0.4,-0.5583945352329343,-0.5583945352329343,1.9432291420653083,0.526799594342683
mvo_g5.0_s0.75_p0.0,5.0,0.75,0.0,train,6,0.5861217942385162,0.08602906249629738,0.5000927317422188,0.48307476791098125,0.10304702632753493,1.0,0.6666666666666666,0.15757294989533543,0.0,1.5273306694262285,5.0,0.75,0.0,holdout,5,-0.04671263791477298,0.10871376388269938,-0.15542640179747236,0.08145277889612257,-0.12816541681089555,0.4,0.4,-0.544546646809116,-0.544546646809116,1.9379677135143667,0.5267732245984423
mvo_g5.0_s0.0_p0.0,5.0,0.0,0.0,train,6,0.5794576920785659,0.08602906249629738,0.4934286295822685,0.48307476791098125,0.09638292416758465,1.0,0.6666666666666666,0.1329269676904603,0.0,1.5266039403409255,5.0,0.0,0.0,holdout,5,-0.03994071971567703,0.10871376388269938,-0.1486544835983764,0.08145277889612257,-0.1213934986117996,0.6,0.2,-0.5619550292592005,-0.5619550292592005,1.9464405895642714,0.5134813567328069
mvo_g5.0_s0.5_p0.1,5.0,0.5,0.1,train,6,0.5746407698647367,0.08602906249629738,0.4886117073684393,0.48307476791098125,0.09156600195375542,1.0,0.5,0.155250923703216,0.0,1.5383063005309634,5.0,0.5,0.1,holdout,5,-0.04302111772453365,0.10871376388269938,-0.15173488160723303,0.08145277889612257,-0.12447389662065622,0.4,0.4,-0.5515232585531201,-0.5515232585531201,1.9402709009046177,0.5032623942956466
mvo_g5.0_s0.75_p0.1,5.0,0.75,0.1,train,6,0.5736175271579369,0.08602906249629738,0.4875884646616395,0.48307476791098125,0.09054275924695565,1.0,0.6666666666666666,0.151912893809215,0.0,1.5448190747990065,5.0,0.75,0.1,holdout,5,-0.046383801052220064,0.10871376388269938,-0.15509756493491944,0.08145277889612257,-0.12783657994834263,0.4,0.4,-0.5446565200846714,-0.5446565200846714,1.9392188306401246,0.5008902701686448
mvo_g5.0_s0.25_p0.1,5.0,0.25,0.1,train,6,0.5732239673873529,0.08602906249629738,0.48719490489105555,0.48307476791098125,0.09014919947637168,1.0,0.6666666666666666,0.14738388549078296,0.0,1.5333066067715881,5.0,0.25,0.1,holdout,5,-0.04230775353143712,0.10871376388269938,-0.1510215174141365,0.08145277889612257,-0.12376053242755969,0.6,0.4,-0.5586289883594416,-0.5586289883594415,1.9456001143291721,0.5006787740288479
mvo_g5.0_s0.0_p0.1,5.0,0.0,0.1,train,6,0.5673367202639559,0.08602906249629738,0.4813076577676585,0.48307476791098125,0.08426195235297462,1.0,0.6666666666666666,0.13069476670440683,0.0,1.5324070459055046,5.0,0.0,0.1,holdout,5,-0.03987500717123793,0.10871376388269938,-0.1485887710539373,0.08145277889612257,-0.1213277860673605,0.6,0.2,-0.562081302414093,-0.562081302414093,1.9473944924668811,0.48894925782535786
