year,net_return,gross_return,turnover,cdi_return,eligible_assets,baseline_mvo_return
2015,0.5576104529629241,0.559110452962924,1.0,0.1318997108790032,257,0.2473397014913701
2016,0.7805079708187029,0.782727451170955,1.4796535681680598,0.13939289494698648,258,0.7397646564531561
2017,1.1855426380120846,1.1878126217996368,1.5133225250347149,0.09869747716374477,260,0.8758134462196199
2018,0.8257864522686127,0.8277166039888675,1.2867678135032066,0.06393224883871174,262,0.6530546159819116
2019,0.1329269676904603,0.13575039239593845,1.8822831369854187,0.05933780936875266,266,0.2061423908230255
2020,0.2383232573978854,0.24131965229541663,1.997596598354152,0.0274025853352573,268,0.311075188790148
2021,0.28863273002209955,0.2914024854265287,1.8465036029527493,0.04415820920482849,273,0.5278810024533993
2022,0.00959434120044256,0.012594338153522733,1.9999979687201157,0.12294915546054375,297,0.010774454327504
2023,0.25435620029077516,0.2573562002882812,1.9999999983373569,0.1293265758525719,332,0.2075973884334144
2024,0.14097099774817853,0.14397099771726918,1.999999979393765,0.10777090353467478,333,0.1475271691096646
2025,-0.5619550292592005,-0.5591264771615745,1.88570139841737,0.14209253474057149,325,-0.3087918114055668
