year,net_return,gross_return,turnover,cdi_return,eligible_assets,baseline_mvo_return
2015,0.3480408058307454,0.3495408058307454,1.0,0.1318997108790032,257,0.2473397014913701
2016,0.7311451755061196,0.7335932082778223,1.6320218478017567,0.13939289494698648,258,0.7397646564531561
2017,1.2198740903079752,1.2222587448567563,1.5897696991873482,0.09869747716374477,260,0.8758134462196199
2018,0.8614719256563194,0.8634057295801019,1.2892026158550203,0.06393224883871174,262,0.6530546159819116
2019,0.14369991837553786,0.1465032122647103,1.8688625927816358,0.05933780936875266,266,0.2061423908230255
2020,0.27598765645219686,0.2789649882706535,1.9848878789711053,0.0274025853352573,268,0.311075188790148
2021,0.2844941499518956,0.28726719383520494,1.8486959222062171,0.04415820920482849,273,0.5278810024533993
2022,0.013006780164849123,0.0160067801611663,1.999999997544785,0.12294915546054375,297,0.010774454327504
2023,0.2594572447279395,0.26245724472441645,1.999999997651276,0.1293265758525719,332,0.2075973884334144
2024,0.11623096372690372,0.11923096372230457,1.999999996933895,0.10777090353467478,333,0.1475271691096646
2025,-0.5589776423878559,-0.5561501522736209,1.8849934094899838,0.14209253474057149,325,-0.3087918114055668
