year,net_return,gross_return,turnover,cdi_return,eligible_assets,baseline_mvo_return
2015,1.0645161931703284,1.0660161931703285,1.0,0.1318997108790032,257,0.2473397014913701
2016,0.6946379395265059,0.6965990455228097,1.3074039975358542,0.13939289494698648,258,0.7397646564531561
2017,2.1251592922482807,2.128006940705295,1.8984323046760916,0.09869747716374477,260,0.8758134462196199
2018,1.0416839391374977,1.0428778835604446,0.7959629486313285,0.06393224883871174,262,0.6530546159819116
2019,0.06536511243092288,0.06836511238354248,1.9999999684130634,0.05933780936875266,266,0.2061423908230255
2020,0.25560640345847696,0.2585830312141755,1.9844185037990254,0.0274025853352573,268,0.311075188790148
2021,-0.05339340625122368,-0.05039340625268529,1.9999999990255892,0.04415820920482849,273,0.5278810024533993
2022,0.013269252487528808,0.016246569145164758,1.9848777717573005,0.12294915546054375,297,0.010774454327504
2023,0.2591643777701141,0.2621643777695919,1.9999999996518651,0.1293265758525719,332,0.2075973884334144
2024,0.18801248312183452,0.19101248312126784,1.9999999996222118,0.10777090353467478,333,0.1475271691096646
2025,-0.8206643062180927,-0.8178179262209737,1.8975866647460178,0.14209253474057149,325,-0.3087918114055668
