date,decision_year,strategy,mvo,cdi,equity_sleeve,IBOVESPA,BOVA11,strategy_daily_return,cdi_daily_return,market_drawdown,market_volatility,stress_at_close,tradable_stress,risk_state,risk_multiplier,base_equity_weight,protected_equity_weight,overlay_turnover,overlay_cost_rate,protected_return,base_rebased,protected_rebased,cdi_rebased
2015-01-05,2015,98.952658,98.822538,100.043455,98.415959,97.948961,98.011006,-0.010473415164087285,0.00043455050886920255,,,0,0,0,1.0,0.6374999999999998,0.6374999999999998,0.0,0.0,-0.010473415164087285,0.9895265848359127,0.9895265848359127,1.0004345505088692
2015-01-06,2015,98.692067,98.905421,100.086929,97.982467,98.946652,98.561158,-0.0026334916642664075,0.00043455116579083075,,,0,0,0,1.0,0.6374999999999998,0.6374999999999998,0.0,0.0,-0.0026334916642664075,0.9869206748231774,0.9869206748231774,1.0008692905090903
2015-01-07,2015,100.039195,100.528579,100.130422,100.070879,101.96034,101.883206,0.013649810374323224,0.0004345522480762032,,,0,0,0,1.0,0.6374999999999998,0.6374999999999998,0.0,0.0,0.013649810374323224,1.0003919548890128,1.0003919548890128,1.0013042205093114
2015-01-08,2015,100.826204,99.715933,100.173933,101.280661,102.949786,102.644943,0.007867006526791842,0.00043454325998948384,,,0,0,0,1.0,0.6374999999999998,0.6374999999999998,0.0,0.0,0.007867006526791842,1.0082620449274746,1.0082620449274746,1.0017393305095328
2015-01-09,2015,99.296611,98.348553,100.217464,98.856546,100.676121,100.571309,-0.015170589978771853,0.0004345541669008579,,,0,0,0,1.0,0.6374999999999998,0.6374999999999998,0.0,0.0,-0.015170589978771853,0.9929661148527219,0.9929661148527219,1.0021746405097542
2015-01-12,2015,97.62901,100.430495,100.261013,96.215938,99.233179,99.090147,-0.016794138120182267,0.00043454502101547554,,,0,0,0,1.0,0.6374999999999998,0.6374999999999998,0.0,0.0,-0.016794138120182267,0.9762901047712246,0.9762901047712246,1.0026101305099757
2015-01-13,2015,97.192301,98.98349,100.304582,95.50613,99.031168,98.688111,-0.004473147889136553,0.0004345557529923383,,,0,0,0,1.0,0.6374999999999998,0.6374999999999998,0.0,0.0,-0.004473147889136553,0.9719230147498823,0.9719230147498823,1.0030458205101973
2015-01-14,2015,97.6747,97.689551,100.348169,96.238049,98.214875,98.349558,0.004963345810693465,0.0004345464497323981,,,0,0,0,1.0,0.6374999999999998,0.6374999999999998,0.0,0.0,0.004963345810693465,0.9767470047734577,0.9767470047734577,1.003481690510419
2015-01-15,2015,97.746625,98.040755,100.391775,96.326076,98.998186,99.449855,0.0007363728785447776,0.00043454704190959426,,,0,0,0,1.0,0.6374999999999998,0.6374999999999998,0.0,0.0,0.0007363728785447776,0.9774662547769727,0.9774662547769727,1.0039177505106407
2015-01-16,2015,99.507054,100.035423,100.435401,99.062727,101.04098,100.719425,0.018010125669300603,0.00043455751230614403,,,0,0,0,1.0,0.6374999999999998,0.6374999999999998,0.0,0.0,0.018010125669300603,0.9950705448630066,0.9950705448630066,1.0043540105108626
