reference,reference_column,strategy_column,years,years_strategy_wins,win_rate,strategy_cagr,reference_cagr,annualised_excess
CDI,cdi_net_return,net_return,11,6,0.5454545454545454,0.1786442942659776,0.09609571930908412,0.0825485749568935
MVO de referência,mvo_eligible_net_return,net_return,11,10,0.9090909090909091,0.1786442942659776,0.07834134942607607,0.10030294483990154
Ibovespa,benchmark_IBOVESPA,net_return,11,7,0.6363636363636364,0.1786442942659776,0.11769711878033418,0.060947175485643434
BOVA11 (ETF investível),benchmark_BOVA11,net_return,11,7,0.6363636363636364,0.1786442942659776,0.11724118199980071,0.061403112266176896
CDI após IR,cdi_net_return_after_tax,net_return_after_tax,11,6,0.5454545454545454,0.16027289798042021,0.07937542023896715,0.08089747774145306
MVO de referência após IR,mvo_net_return_after_tax,net_return_after_tax,11,10,0.9090909090909091,0.16027289798042021,0.06329985053302956,0.09697304744739066
