date,wealth,gross_return,net_return,turnover,friction_cost
2011-07-08,100.97105705238343,0.009710570523834283,0.009710570523834283,0.0,0.0
2011-08-08,101.95355521548875,0.009730492992616746,0.009730492992616746,0.0,0.0
2011-09-06,102.91173764833864,0.009398224817414924,0.009398224817414924,0.0,0.0
2011-10-06,103.8572595685014,0.00918769755296256,0.00918769755296256,0.0,0.0
2011-11-08,104.78411247971803,0.008924295856326703,0.008924295856326703,0.0,0.0
2011-12-08,105.6886579118451,0.008632467372400088,0.008632467372400088,0.0,0.0
2012-01-09,106.5718741946764,0.008356774513760934,0.008356774513760934,0.0,0.0
2012-02-08,107.43557119072312,0.008104361517270453,0.008104361517270453,0.0,0.0
2012-03-13,108.25043123770944,0.00758463922102437,0.00758463922102437,0.0,0.0
2012-04-12,109.02204809097351,0.007128071864856311,0.007128071864856311,0.0,0.0
2012-05-14,109.77386999997445,0.006896053799811064,0.006896053799811064,0.0,0.0
2012-06-13,110.50808263459271,0.006688409861276057,0.006688409861276057,0.0,0.0
2012-07-13,111.20400372314637,0.00629746776853235,0.00629746776853235,0.0,0.0
2012-08-13,111.88981977834906,0.006167188520568967,0.006167188520568967,0.0,0.0
2012-09-12,112.55338726660253,0.005930543900847907,0.005930543900847907,0.0,0.0
2012-10-11,113.19771121970797,0.005724607395237724,0.005724607395237724,0.0,0.0
2012-11-13,113.8423070007927,0.005694424155216593,0.005694424155216593,0.0,0.0
2012-12-14,114.47749136374033,0.00557951063784401,0.00557951063784401,0.0,0.0
2013-01-18,115.11968847912885,0.005609811219115635,0.005609811219115635,0.0,0.0
2013-02-21,115.76925773523556,0.005642555714737485,0.005642555714737485,0.0,0.0
2013-03-22,116.42736561179235,0.0056846514301913675,0.0056846514301913675,0.0,0.0
2013-04-23,117.10653919027783,0.005833453114021836,0.005833453114021836,0.0,0.0
2013-05-23,117.82363217196607,0.00612342390652576,0.00612342390652576,0.0,0.0
2013-06-24,118.57567317516772,0.006382768798911531,0.006382768798911531,0.0,0.0
2013-07-24,119.35892938508125,0.0066055388001589055,0.0066055388001589055,0.0,0.0
2013-08-22,120.18238339219413,0.006898972798727199,0.006898972798727199,0.0,0.0
2013-09-20,121.04351700477773,0.00716522329045044,0.00716522329045044,0.0,0.0
2013-10-21,121.94402371169276,0.007439528602589229,0.007439528602589229,0.0,0.0
2013-11-21,122.88474831115269,0.007714396907912757,0.007714396907912757,0.0,0.0
2013-12-20,123.85747747154045,0.007915784291836925,0.007915784291836925,0.0,0.0
2014-01-24,124.8719041360073,0.00819027389525151,0.00819027389525151,0.0,0.0
2014-02-24,125.91816691589234,0.008378688441760929,0.008378688441760929,0.0,0.0
2014-03-27,126.99322718589961,0.00853776938100892,0.00853776938100892,0.0,0.0
2014-04-29,128.08320176250493,0.008582934702570766,0.008582934702570766,0.0,0.0
2014-05-29,129.1827174668841,0.008584386471052863,0.008584386471052863,0.0,0.0
2014-07-01,130.29148429560286,0.008582934702569656,0.008582934702569656,0.0,0.0
2014-07-31,131.4113281189878,0.008594911858124554,0.008594911858124554,0.0,0.0
2014-08-29,132.540796901364,0.008594911858386345,0.008594911858386345,0.0,0.0
2014-09-29,133.681272214161,0.008604711450812763,0.008604711450812763,0.0,0.0
2014-10-28,134.85518793354368,0.008781452330151707,0.008781452330151707,0.0,0.0
2014-11-27,136.0802564491875,0.009084326190309522,0.009084326190309522,0.0,0.0
2014-12-30,137.34243216795022,0.009275230306712734,0.009275230306712734,0.0,0.0
2015-01-30,138.6548356780336,0.00955570313825893,0.00955570313825893,0.0,0.0
2015-03-04,140.0305603392265,0.009921937842740869,0.009921937842740869,0.0,0.0
2015-04-02,141.43018895185975,0.009995165407055584,0.009995165407055584,0.0,0.0
2015-05-06,142.89166906876187,0.010333579610783072,0.010333579610783072,0.0,0.0
