name,train_influence,train_penalty,train_equity_cap,train_gamma,train_split,train_cagr,train_cdi_cagr,train_reference_mvo_cagr,train_excess_cdi,train_excess_reference_mvo,train_hit_cdi,train_hit_reference_mvo,train_drawdown,train_turnover,holdout_influence,holdout_penalty,holdout_equity_cap,holdout_gamma,holdout_split,holdout_cagr,holdout_cdi_cagr,holdout_reference_mvo_cagr,holdout_excess_cdi,holdout_excess_reference_mvo,holdout_hit_cdi,holdout_hit_reference_mvo,holdout_drawdown,holdout_turnover,train_score
tilt_0.25_turnover_0.0_equity_0.55_gamma_2.5,0.25,0.0,0.55,2.5,train,0.1593417392007812,0.08511971475667113,0.1497523824925111,0.07422202444411008,0.009589356708270103,0.6666666666666666,0.5,-0.07979870925817711,0.6370205228156703,0.25,0.0,0.55,2.5,holdout,0.027458842312405585,0.10347591307479975,0.01808553285761172,-0.07601707076239417,0.009373309454793866,0.4,0.8,-0.1503376565331186,0.7869738983922491,0.02010932887081314
tilt_0.4_turnover_0.0_equity_0.55_gamma_2.5,0.4,0.0,0.55,2.5,train,0.15934173658281336,0.08511971475667113,0.1497523824925111,0.07422202182614224,0.00958935409030226,0.6666666666666666,0.5,-0.0797987205575883,0.637020515937499,0.4,0.0,0.55,2.5,holdout,0.030777413811560184,0.10347591307479975,0.01808553285761172,-0.07269849926323957,0.012691880953948464,0.4,0.8,-0.15033765991406245,0.7773576806609362,0.02010932432269459
tilt_0.6_turnover_0.0_equity_0.55_gamma_2.5,0.6,0.0,0.55,2.5,train,0.15934173593600387,0.08511971475667113,0.1497523824925111,0.07422202117933274,0.009589353443492765,0.6666666666666666,0.6666666666666666,-0.0797987295944762,0.6370205139624311,0.6,0.0,0.55,2.5,holdout,0.030890274579994825,0.10347591307479975,0.01808553285761172,-0.07258563849480493,0.012804741722383106,0.4,0.8,-0.150337662358891,0.7741133132108502,0.02010932322658239
tilt_0.6_turnover_0.01_equity_0.55_gamma_2.5,0.6,0.01,0.55,2.5,train,0.15934171960676413,0.08511971475667113,0.1497523824925111,0.074222004850093,0.009589337114253027,0.6666666666666666,0.5,-0.07979880784587501,0.6370204946511988,0.6,0.01,0.55,2.5,holdout,0.030890274693781583,0.10347591307479975,0.01808553285761172,-0.07258563838101817,0.012804741836169864,0.4,0.8,-0.15033766728409814,0.7741133540001062,0.020109292499226147
tilt_0.4_turnover_0.01_equity_0.55_gamma_2.5,0.4,0.01,0.55,2.5,train,0.1593417195898721,0.08511971475667113,0.1497523824925111,0.07422200483320096,0.009589337097360984,0.6666666666666666,0.5,-0.07979880811370155,0.6370204943665373,0.4,0.01,0.55,2.5,holdout,0.025543429285919794,0.10347591307479975,0.01808553285761172,-0.07793248378887996,0.007457896428308075,0.4,0.8,-0.150337666953391,0.7617348042573655,0.020109292493908207
tilt_0.25_turnover_0.01_equity_0.55_gamma_2.5,0.25,0.01,0.55,2.5,train,0.15934171548646558,0.08511971475667113,0.1497523824925111,0.07422200072979446,0.00958933299395448,0.6666666666666666,0.5,-0.07979880841499376,0.6370205041811101,0.25,0.01,0.55,2.5,holdout,0.01843816419331823,0.10347591307479975,0.01808553285761172,-0.08503774888148152,0.0003526313357065103,0.2,0.8,-0.15033766697596918,0.749006415054296,0.020109283305637923
tilt_0.4_turnover_0.03_equity_0.55_gamma_2.5,0.4,0.03,0.55,2.5,train,0.15934171251552054,0.08511971475667113,0.1497523824925111,0.07422199775884941,0.009589330023009435,0.6666666666666666,0.6666666666666666,-0.07979884246449442,0.6370204834439478,0.4,0.03,0.55,2.5,holdout,0.018715023592270397,0.10347591307479975,0.01808553285761172,-0.08476088948252936,0.0006294907346586776,0.2,0.6,-0.15033765642326724,0.7413576536639319,0.02010927943746406
tilt_0.6_turnover_0.03_equity_0.55_gamma_2.5,0.6,0.03,0.55,2.5,train,0.15934171222240145,0.08511971475667113,0.1497523824925111,0.07422199746573033,0.00958932972989035,0.6666666666666666,0.6666666666666666,-0.07979884400265325,0.6370204827691816,0.6,0.03,0.55,2.5,holdout,0.018826562136301517,0.10347591307479975,0.01808553285761172,-0.08464935093849824,0.0007410292786897976,0.2,0.6,-0.1503376628568467,0.7381133484433231,0.020109278918702525
tilt_0.25_turnover_0.03_equity_0.55_gamma_2.5,0.25,0.03,0.55,2.5,train,0.15672598985417374,0.08511971475667113,0.1497523824925111,0.07160627509750261,0.006973607361662637,0.6666666666666666,0.6666666666666666,-0.09218579409535965,0.6331916025713351,0.25,0.03,0.55,2.5,holdout,0.018396269724555214,0.10347591307479975,0.01808553285761172,-0.08507964335024454,0.0003107368669434951,0.2,0.6,-0.15033766635734114,0.7493346813272519,0.015260722202031743
tilt_0.6_turnover_0.0_equity_0.55_gamma_1.0,0.6,0.0,0.55,1.0,train,0.1593417282697811,0.08511971475667113,0.15934172668831614,0.07422201351310997,1.5814649589884766e-09,0.6666666666666666,0.5,-0.07979876728090762,0.6370205044118695,0.6,0.0,0.55,1.0,holdout,0.03089027492519114,0.10347591307479975,0.018827008558778946,-0.07258563814960861,0.012063266366412195,0.4,0.6,-0.15033766699035034,0.7741133341706964,0.010519964653387975
