year,net_return,turnover,cdi_return,reference_mvo_return
2015,0.005329880286900459,1.0,0.1313058205754336,0.015197648561091905
2016,0.15164108245305413,0.42765478065265006,0.1388153105977607,0.14873025398169396
2017,0.279883091908333,0.7569430433810278,0.0948561467820097,0.2870241975889135
2018,0.36416535836925995,0.5349396526809942,0.0636703731928327,0.3641648100144613
2019,0.28768940837610596,0.5652394827369253,0.0591568100614796,0.28768940838911394
2020,-0.1752007453142496,0.41722513667231637,0.027325854367195,-0.07979876620518014
2021,0.07731556811442925,0.5183823186107543,0.0437955007062886,0.05942389873006991
2022,0.014749270644588839,0.7244020902305552,0.1229491554605441,0.014637214345786324
2023,0.14979048837125752,0.7804920602006604,0.129326575852571,0.14979048854573718
2024,-0.10548844745402716,0.6750846441617211,0.08222592706285,-0.14763755190133782
2025,0.14021299514772462,0.599732744074276,0.142092534740571,0.13988533311377013
