year,net_return,turnover,cdi_return,reference_mvo_return
2015,-0.09580772202976989,1.0,0.1313058205754336,-0.05654354568919756
2016,0.23664862069392092,0.7130688213391687,0.1388153105977607,0.23671094320513697
2017,0.27900164310166176,0.9518717254327075,0.0948561467820097,0.27900164670126026
2018,0.45073350349630786,0.7027630046320075,0.0636703731928327,0.450733504432559
2019,0.27987778046082196,0.5977572312027013,0.0591568100614796,0.27987778025256355
2020,-0.15384497360820693,0.5773120168070364,0.027325854367195,-0.15384495768527237
2021,-0.025733668073018256,0.5381675878733658,0.0437955007062886,-0.025733677670396995
2022,-0.01298025866553964,0.7526583243311316,0.1229491554605441,-0.012980263186565522
2023,0.12251131374723082,0.7461463126213923,0.129326575852571,0.1359626452514681
2024,-0.20963359060271253,0.8851497291791818,0.08222592706285,-0.20973092903018684
2025,0.22905399808530028,0.8719937864331206,0.142092534740571,0.13962371796391893
