year,net_return,turnover,cdi_return,reference_mvo_return
2015,-0.056543535548712665,1.0,0.1313058205754336,-0.03624948844261572
2016,0.23671074091987881,0.6715094422277069,0.1388153105977607,0.17690474470854484
2017,0.2790016425953969,0.9518722060619254,0.0948561467820097,0.30613903494163086
2018,0.43555068829193705,0.7027630050667137,0.0636703731928327,0.39197964053019546
2019,0.2798645210811988,0.6065966320220029,0.0591568100614796,0.2798251187193265
2020,-0.15384497237737813,0.5773120209333515,0.027325854367195,-0.15384496155914823
2021,-0.026889128385776617,0.6132930847407468,0.0437955007062886,-0.03221809605189745
2022,-0.01304044788162092,0.7927843968240428,0.1229491554605441,-0.013269606139834493
2023,0.12251130434765746,0.7461462399835062,0.129326575852571,0.1359626491074922
2024,-0.20963358609175511,0.8851496998161408,0.08222592706285,-0.20555754188424682
2025,0.19209803921071833,0.8719937862913915,0.142092534740571,0.1397040465061049
