year,net_return,turnover,cdi_return,reference_mvo_return
2015,-0.009042387848279763,1.0,0.1313058205754336,0.015197648561091905
2016,0.17103601790140646,0.48151522342874276,0.1388153105977607,0.14873025398169396
2017,0.2691522010446444,0.7067064257984916,0.0948561467820097,0.2870241975889135
2018,0.3641661927282598,0.5343834602925731,0.0636703731928327,0.3641648100144613
2019,0.28768940823498684,0.565239482237633,0.0591568100614796,0.28768940838911394
2020,-0.07979880761594622,0.597225126948939,0.027325854367195,-0.07979876620518014
2021,0.03354194255861232,0.8127403480648839,0.0437955007062886,0.05942389873006991
2022,0.014666260945374458,0.7797418785239034,0.1229491554605441,0.014637214345786324
2023,0.1497904883266612,0.7804920614102223,0.129326575852571,0.14979048854573718
2024,-0.15033766767785123,0.8550846274464007,0.08222592706285,-0.14763755190133782
2025,0.1398908729391812,0.6918048735150342,0.142092534740571,0.13988533311377013
