year,net_return,turnover,cdi_return,reference_mvo_return
2015,-0.007893672326367339,1.0,0.1313058205754336,0.0851856343761516
2016,0.19284428873884685,0.3927635122000101,0.1388153105977607,0.2845118141702993
2017,0.22148197907704367,0.7684022682765195,0.0948561467820097,0.2729222975957605
2018,0.3035217462379257,0.5086909492266165,0.0636703731928327,0.3031158995107719
2019,0.19728915911738398,0.4614048164528397,0.0591568100614796,0.2172780186823916
2020,-0.061750778338686384,0.3331061343105287,0.027325854367195,0.0893245753551568
2021,0.005364219042085798,0.3333447513735401,0.0437955007062886,-0.0704665224532576
2022,0.04575866544151653,0.4612754831912638,0.1229491554605441,0.1116977063511322
2023,0.13010058832889698,0.45785758172840824,0.129326575852571,0.2003331947054143
2024,-0.09474715259781287,0.5555986093855573,0.08222592706285,-0.0780406443555401
2025,0.21950656668552032,0.5009408462653256,0.142092534740571,0.1890928699816989
