year,net_return,turnover,cdi_return,reference_mvo_return
2015,0.017196203990287595,1.0,0.1313058205754336,0.0851856343761516
2016,0.1898338791295572,0.375862952229893,0.1388153105977607,0.2845118141702993
2017,0.2214707984587403,0.7758559667581832,0.0948561467820097,0.2729222975957605
2018,0.29313952594051557,0.6097586938498525,0.0636703731928327,0.3031158995107719
2019,0.18638035857977772,0.4312090179824251,0.0591568100614796,0.2172780186823916
2020,-0.04575810408751401,0.5282499335591881,0.027325854367195,0.0893245753551568
2021,0.004364609925131005,0.4418841295143195,0.0437955007062886,-0.0704665224532576
2022,0.011609434212118703,0.680531922922452,0.1229491554605441,0.1116977063511322
2023,0.13448432999070928,0.6072369825753497,0.129326575852571,0.2003331947054143
2024,-0.09711117778967437,0.5780057760304367,0.08222592706285,-0.0780406443555401
2025,0.13850095956488406,0.5024714243149881,0.142092534740571,0.1890928699816989
