year,net_return,turnover,cdi_return,reference_mvo_return
2015,-0.049888317363103896,1.0,0.1313058205754336,0.0851856343761516
2016,0.19276567140937823,0.4451733866172048,0.1388153105977607,0.2845118141702993
2017,0.22148197908914632,0.7684022789735171,0.0948561467820097,0.2729222975957605
2018,0.30791342467333593,0.6097586211624758,0.0636703731928327,0.3031158995107719
2019,0.18633943440572184,0.4584878279286658,0.0591568100614796,0.2172780186823916
2020,-0.045758106647873595,0.5282499594762281,0.027325854367195,0.0893245753551568
2021,0.0052625404791165325,0.40113074249642616,0.0437955007062886,-0.0704665224532576
2022,0.011641204526412744,0.6591809987517052,0.1229491554605441,0.1116977063511322
2023,0.11999380836577246,0.3872374008459249,0.129326575852571,0.2003331947054143
2024,-0.09459210902943901,0.4522319432843112,0.08222592706285,-0.0780406443555401
2025,0.22408050357400305,0.5009408632259783,0.142092534740571,0.1890928699816989
